age_group,congruency,source,n_trials,mean_rt,median_rt,mean_error_vs_human
20-29,0,human,2502,0.5811570742064052,0.5600000023841858,0.0
20-29,1,human,2498,0.6249039232122411,0.6039999723434448,0.0
80-89,0,human,2509,0.8978206452060953,0.8230000138282776,0.0
80-89,1,human,2491,0.9843817744471375,0.9330000281333924,0.0
30-39,0,human,2510,0.6174960154461195,0.5899999737739563,0.0
30-39,1,human,2490,0.6748702813463517,0.6489999890327454,0.0
40-49,1,human,2494,0.6622806730969198,0.6439999938011169,0.0
40-49,0,human,2506,0.5950171590648169,0.5759999752044678,0.0
50-59,0,human,2497,0.6316764112479887,0.6169999837875366,0.0
50-59,1,human,2503,0.6962788655216866,0.6850000023841858,0.0
60-69,1,human,2500,0.7539003991127015,0.7279999852180481,0.0
60-69,0,human,2500,0.6804524006247521,0.6600000262260437,0.0
70-79,1,human,2504,0.8240591055585649,0.7990000247955322,0.0
70-79,0,human,2496,0.7454002405015322,0.7245000004768372,0.0
20-29,0,current_model,2502,0.4811695015738629,0.4792904602219505,-0.09998757263254227
20-29,1,current_model,2498,0.7020778067211502,0.702248062921907,0.07717388350890908
80-89,0,current_model,2509,0.7371214528165236,0.7367319084971641,-0.16069919238957164
80-89,1,current_model,2491,1.0462753273620227,1.0444497730572069,0.061893552914885186
30-39,0,current_model,2510,0.5220449659423422,0.5209050574613368,-0.09545104950377736
30-39,1,current_model,2490,0.7514707985054375,0.7524106643955002,0.07660051715908578
40-49,1,current_model,2494,0.7586498780267641,0.7596626449198445,0.09636920492984424
40-49,0,current_model,2506,0.5248592620685776,0.5251130095879268,-0.07015789699623931
50-59,0,current_model,2497,0.5572864415434646,0.5566741265481201,-0.07438996970452405
50-59,1,current_model,2503,0.8019864125937513,0.8010910191220149,0.10570754707206464
60-69,1,current_model,2500,0.8488710919982309,0.8550502452480405,0.0949706928855294
60-69,0,current_model,2500,0.5755731838565518,0.5720035304542435,-0.10487921676820033
70-79,1,current_model,2503,0.9330557636455691,0.936384109303776,0.1089966580870042
70-79,0,current_model,2496,0.6345641657859914,0.6378006879663143,-0.1108360747155408
20-29,0,refined_model,2502,0.5656114183336962,0.5636915853347648,-0.015545655872708952
20-29,1,refined_model,2498,0.6249998291947536,0.6223374372688298,9.590598251252302e-05
30-39,0,refined_model,2510,0.6149228506726352,0.613576898422089,-0.002573164773484349
30-39,1,refined_model,2490,0.676138462075079,0.6779137283092603,0.0012681807287272528
40-49,1,refined_model,2494,0.6551871178045244,0.6554234425569121,-0.007093555292395415
40-49,0,refined_model,2506,0.5938308407985204,0.5947099983172313,-0.0011863182662964489
50-59,0,refined_model,2497,0.6297832195578874,0.6299919176157769,-0.0018931916901012702
50-59,1,refined_model,2503,0.6944430581859196,0.6931929455523727,-0.001835807335767048
60-69,1,refined_model,2500,0.7517236868964612,0.7507184056650626,-0.002176712216240273
60-69,0,refined_model,2500,0.6781626546417434,0.6737542360657506,-0.002289745983008684
70-79,1,refined_model,2503,0.826528031169805,0.8245174913182698,0.0024689256112401248
70-79,0,refined_model,2496,0.740849692029186,0.7434056967261677,-0.00455054847234615
80-89,0,refined_model,2509,0.8960752179360623,0.8979897230069379,-0.0017454272700330176
80-89,1,refined_model,2491,0.9843448069153594,0.9825315508715019,-3.696753177806489e-05
