age_group,congruency,source,rt_bin,n_trials,median_rt,accuracy
20-29,0,human,1,501,0.460999995470047,0.9780439121756487
20-29,0,human,2,501,0.515999972820282,0.9840319361277445
20-29,0,human,3,500,0.5600000023841858,0.984
20-29,0,human,4,500,0.6100000143051147,0.978
20-29,0,human,5,500,0.7094999849796295,0.986
20-29,0,model,1,501,0.45184374896146473,1.0
20-29,0,model,2,501,0.5188214209064379,1.0
20-29,0,model,3,500,0.5637759487643692,1.0
20-29,0,model,4,500,0.6120521998021896,1.0
20-29,0,model,5,500,0.6827749900989822,1.0
20-29,1,human,1,500,0.4880000054836273,0.854
20-29,1,human,2,500,0.5509999990463257,0.884
20-29,1,human,3,500,0.6039999723434448,0.926
20-29,1,human,4,499,0.6639999747276306,0.9458917835671342
20-29,1,human,5,499,0.7720000147819519,0.9739478957915831
20-29,1,model,1,500,0.5030911151603603,0.874
20-29,1,model,2,500,0.5754197107863848,0.922
20-29,1,model,3,500,0.6224420847445927,0.918
20-29,1,model,4,499,0.6744000432365272,0.9438877755511023
20-29,1,model,5,499,0.7484784467673443,0.9498997995991983
30-39,0,human,1,502,0.49150000512599945,0.9800796812749004
30-39,0,human,2,502,0.5379999876022339,0.9920318725099602
30-39,0,human,3,502,0.5899999737739563,0.9840637450199203
30-39,0,human,4,502,0.6549999713897705,0.9860557768924303
30-39,0,human,5,502,0.7720000147819519,0.9820717131474104
30-39,0,model,1,502,0.4602440192295933,1.0
30-39,0,model,2,502,0.5515360445934598,1.0
30-39,0,model,3,502,0.613576898422089,1.0
30-39,0,model,4,502,0.6793647083420185,1.0
30-39,0,model,5,502,0.7727363154891045,1.0
30-39,1,human,1,498,0.527999997138977,0.7690763052208835
30-39,1,human,2,498,0.5889999866485596,0.9036144578313253
30-39,1,human,3,498,0.6489999890327454,0.9357429718875502
30-39,1,human,4,498,0.7269999980926514,0.9518072289156626
30-39,1,human,5,498,0.851500004529953,0.9779116465863453
30-39,1,model,1,498,0.519909103935257,0.8875502008032129
30-39,1,model,2,498,0.6133325694530294,0.8755020080321285
30-39,1,model,3,498,0.6779137283092603,0.9096385542168675
30-39,1,model,4,498,0.7421314306340405,0.9357429718875502
30-39,1,model,5,498,0.8324577018076159,0.9417670682730924
40-49,0,human,1,502,0.4880000054836273,0.9800796812749004
40-49,0,human,2,501,0.5370000004768372,0.9860279441117764
40-49,0,human,3,501,0.5759999752044678,0.9820359281437125
40-49,0,human,4,501,0.6230000257492065,0.9900199600798403
40-49,0,human,5,501,0.7160000205039978,0.9820359281437125
40-49,0,model,1,502,0.48009270068856297,1.0
40-49,0,model,2,501,0.5447632039296034,1.0
40-49,0,model,3,501,0.5947521800477911,1.0
40-49,0,model,4,501,0.6416552374490789,1.0
40-49,0,model,5,501,0.7096218531749799,1.0
40-49,1,human,1,499,0.5289999842643738,0.7895791583166333
40-49,1,human,2,499,0.5920000076293945,0.9038076152304609
40-49,1,human,3,499,0.6439999938011169,0.9398797595190381
40-49,1,human,4,499,0.703000009059906,0.9539078156312625
40-49,1,human,5,498,0.8104999959468842,0.9658634538152611
40-49,1,model,1,499,0.5371648684473335,0.8677354709418837
40-49,1,model,2,499,0.6064740543984106,0.9158316633266533
40-49,1,model,3,499,0.6554342722325949,0.9418837675350702
40-49,1,model,4,499,0.7050361034005633,0.9539078156312625
40-49,1,model,5,498,0.7702124603206248,0.9598393574297188
50-59,0,human,1,500,0.5299999713897705,0.988
50-59,0,human,2,500,0.5789999961853027,0.986
50-59,0,human,3,499,0.6169999837875366,0.9919839679358717
50-59,0,human,4,499,0.6629999876022339,0.9879759519038076
50-59,0,human,5,499,0.7450000047683716,0.9919839679358717
50-59,0,model,1,500,0.5134043261182151,1.0
50-59,0,model,2,500,0.5825651367521754,1.0
50-59,0,model,3,499,0.6300462609769836,1.0
50-59,0,model,4,499,0.6777718490834573,1.0
50-59,0,model,5,499,0.7473560140713351,1.0
50-59,1,human,1,501,0.5609999895095825,0.8802395209580839
50-59,1,human,2,501,0.6290000081062317,0.9181636726546906
50-59,1,human,3,501,0.6850000023841858,0.9600798403193613
50-59,1,human,4,500,0.7409999966621399,0.962
50-59,1,human,5,500,0.8420000076293945,0.988
50-59,1,model,1,501,0.5764128093941018,0.9141716566866267
50-59,1,model,2,501,0.6460972544552529,0.9620758483033932
50-59,1,model,3,501,0.6932239205396603,0.9560878243512974
50-59,1,model,4,500,0.7406270910527137,0.958
50-59,1,model,5,500,0.8123270221419794,0.988
60-69,0,human,1,500,0.5125000178813934,0.964
60-69,0,human,2,500,0.5910000205039978,0.986
60-69,0,human,3,500,0.6600000262260437,0.99
60-69,0,human,4,500,0.7319999933242798,0.986
60-69,0,human,5,500,0.8659999966621399,0.986
60-69,0,model,1,500,0.4849434873868159,1.0
60-69,0,model,2,500,0.5973993734896306,1.0
60-69,0,model,3,500,0.6737542360657506,1.0
60-69,0,model,4,500,0.7555945243438995,1.0
60-69,0,model,5,500,0.8733158622472987,1.0
60-69,1,human,1,500,0.5519999861717224,0.812
