age_group,congruency,condition,source,n_trials,mean_rt_s,median_rt_s,sd_rt_s,bandwidth_s,fraction_within_display
20-29,0,Congruent,Human,2502,0.5811570742064052,0.5600000023841858,0.12657692265027873,0.01432279051078804,0.9996003197442046
20-29,0,Congruent,Model,2502,0.5656114183336962,0.5636915853347648,0.08963594377589766,0.01432279051078804,1.0
20-29,1,Incongruent,Human,2498,0.6249039232122411,0.6039999723434448,0.14947208196906517,0.01432279051078804,0.9991993594875901
20-29,1,Incongruent,Model,2498,0.6249998291947536,0.6223374372688298,0.09490244068598626,0.01432279051078804,1.0
30-39,0,Congruent,Human,2510,0.6174960154461195,0.5899999737739563,0.13933953907515,0.018120278354255507,0.999601593625498
30-39,0,Congruent,Model,2510,0.6149228506726352,0.613576898422089,0.11893419647661115,0.018120278354255507,1.0
30-39,1,Incongruent,Human,2490,0.6748702813463517,0.6489999890327454,0.14524843986617805,0.018120278354255507,0.9995983935742971
30-39,1,Incongruent,Model,2490,0.676138462075079,0.6779137283092603,0.120646931322189,0.018120278354255507,1.0
40-49,0,Congruent,Human,2506,0.5950171590648169,0.5759999752044678,0.11830945912620822,0.01446468976234749,0.9992019154030327
40-49,0,Congruent,Model,2506,0.5938308407985204,0.5947099983172313,0.08940285762658891,0.01446468976234749,1.0
40-49,1,Incongruent,Human,2494,0.6622806730969198,0.6439999938011169,0.12962823463232964,0.01446468976234749,0.9995990376904571
40-49,1,Incongruent,Model,2494,0.6551871178045244,0.6554234425569121,0.09050740641822524,0.01446468976234749,1.0
50-59,0,Congruent,Human,2497,0.6316764112479887,0.6169999837875366,0.09556948986612038,0.014051139383133479,1.0
50-59,0,Congruent,Model,2497,0.6297832195578874,0.6299919176157769,0.09028914661248584,0.014051139383133479,1.0
50-59,1,Incongruent,Human,2503,0.6962788655216866,0.6850000023841858,0.1228181495107227,0.014051139383133479,0.9996004794246903
50-59,1,Incongruent,Model,2503,0.6944430581859196,0.6931929455523727,0.0915010671374443,0.014051139383133479,1.0
60-69,0,Congruent,Human,2500,0.6804524006247521,0.6600000262260437,0.16228260764257663,0.02252384421772558,0.9992
60-69,0,Congruent,Model,2500,0.6781626546417434,0.6737542360657506,0.14927639167759615,0.02252384421772558,1.0
60-69,1,Incongruent,Human,2500,0.7539003991127015,0.7279999852180481,0.1831612904725816,0.02252384421772558,0.9996
60-69,1,Incongruent,Model,2500,0.7517236868964612,0.7507184056650626,0.1522293588857576,0.02252384421772558,1.0
70-79,0,Congruent,Human,2496,0.7454002405015322,0.7245000004768372,0.1649417919674645,0.021091181984677795,0.999198717948718
70-79,0,Congruent,Model,2496,0.740849692029186,0.7434056967261677,0.1469954623347609,0.021091181984677795,1.0
70-79,1,Incongruent,Human,2504,0.8240591055585649,0.7990000247955322,0.19629290786046585,0.021091181984677795,0.9980031948881789
70-79,1,Incongruent,Model,2503,0.826528031169805,0.8245174913182698,0.15060768975816594,0.021091181984677795,1.0
80-89,0,Congruent,Human,2509,0.8978206452060953,0.8230000138282776,0.3303255975146939,0.03331823586745937,0.9924272618573137
80-89,0,Congruent,Model,2509,0.8960752179360623,0.8979897230069379,0.23077027214517543,0.03331823586745937,1.0
80-89,1,Incongruent,Human,2491,0.9843817744471375,0.9330000281333924,0.33006800507115924,0.03331823586745937,0.9903653151344841
80-89,1,Incongruent,Model,2491,0.9843448069153594,0.982531550871502,0.23563946194630567,0.03331823586745937,1.0
