source,congruent_error_rate,incongruent_error_rate,h2_rt_cost_s,h2_accuracy_cost,h3_caf_slope_per_s,h3_slow_minus_fast,h4_delta_slope,h5_correct_skew_congruent,h5_correct_skew_incongruent,h6_error_minus_correct_congruent_s,h6_error_minus_correct_incongruent_s,mean_rt_s,accuracy,h5_congruent_q10_s,h5_congruent_q50_s,h5_congruent_q95_s,h5_congruent_q99_s,h5_congruent_q95_minus_q10_s,h5_incongruent_q10_s,h5_incongruent_q50_s,h5_incongruent_q95_s,h5_incongruent_q99_s,h5_incongruent_q95_minus_q10_s,h5_congruent_mean_rt_s,h5_congruent_median_rt_s,h5_congruent_sd_rt_s,h5_congruent_skewness,h5_congruent_q25_s,h5_congruent_q75_s,h5_congruent_q90_s,h5_congruent_q95_over_q50,h5_congruent_upper_lower_spread_ratio,h5_incongruent_mean_rt_s,h5_incongruent_median_rt_s,h5_incongruent_sd_rt_s,h5_incongruent_skewness,h5_incongruent_q25_s,h5_incongruent_q75_s,h5_incongruent_q90_s,h5_incongruent_q95_over_q50,h5_incongruent_upper_lower_spread_ratio,h3_fastest_accuracy,h3_slowest_accuracy,h4_late_minus_early_s,h6_interaction_s,age_group,h1_abs_distance,h2_rt_cost_abs_distance_s,h2_accuracy_cost_abs_distance,h3_slope_abs_distance,h3_curve_rmse,h4_slope_abs_distance,h4_curve_rmse_s,h5_wasserstein_congruent_s,h5_wasserstein_incongruent_s,h6_incongruent_abs_distance_s
matched_human,0.014124514356527987,0.08326661329063245,0.056000064717986776,0.06650375539340996,0.48294199508692115,0.15371747508232672,0.185651731158103,1.8337629455165831,1.4494664718792303,-0.01258339456513391,-0.06449539092603063,0.6030129999697208,0.9494,0.49965832730134324,0.5745000019669533,0.7774208359420299,0.9079458338518941,0.32639999985694845,0.5355083383619784,0.6329583351810774,0.8551333315670488,1.0314966507752739,0.35855000615119903,0.5972446289428481,0.5745000019669533,0.1044552978754122,1.8337629455165831,0.5320416695127884,0.6411041654646397,0.7168249969681105,1.3442622353203506,2.5596239649056898,0.6532446936608348,0.6329583351810774,0.12263776993530402,1.4494664718792303,0.574562498057882,0.7046874972681204,0.7988083377480506,1.3384068905043864,2.176569219666343,0.822829661844242,0.9765471369265687,0.050404565527794515,-0.05191199636089672,20-29,,,,,,,,,,
C0v2,0.0,0.07846277021617298,0.05999605993535337,0.07329591602104171,0.26648802209076233,0.08609809612034358,0.04122923618545177,-0.08574648146597584,0.053817847473367035,,-0.03824895432257136,0.5979818683998804,0.9608,0.4567544180141865,0.568398308461312,0.7182257411095944,0.7610038790403078,0.26332699170182744,0.5118258791003293,0.6286281771601218,0.7850629579206571,0.838424747198185,0.27567104441554224,0.5700356559046407,0.568398308461312,0.09058455124974461,-0.08574648146597581,0.5114305141016419,0.6315038941808436,0.686679053796809,1.2637943565004768,1.3639952982157952,0.6300317158399938,0.6286281771601218,0.09447495734653748,0.05381784747336704,0.5661412527902168,0.6957619110742085,0.751068896510826,1.2491649091509207,1.354647228739789,0.8772084636410411,0.9633065597613846,0.0109763650294223,,20-29,,,,,,,,,,
C0v2_distance_to_matched_human,0.0,0.07846277021617298,0.05999605993535337,0.07329591602104171,0.26648802209076233,0.08609809612034358,0.04122923618545177,-0.08574648146597584,0.053817847473367035,,-0.03824895432257136,0.5979818683998804,0.9608,0.4567544180141865,0.568398308461312,0.7182257411095944,0.7610038790403078,0.26332699170182744,0.5118258791003293,0.6286281771601218,0.7850629579206571,0.838424747198185,0.27567104441554224,0.5700356559046407,0.568398308461312,0.09058455124974461,-0.08574648146597581,0.5114305141016419,0.6315038941808436,0.686679053796809,1.2637943565004768,1.3639952982157952,0.6300317158399938,0.6286281771601218,0.09447495734653748,0.05381784747336704,0.5661412527902168,0.6957619110742085,0.751068896510826,1.2491649091509207,1.354647228739789,0.8772084636410411,0.9633065597613846,0.0109763650294223,,20-29,0.014124514356527987,0.003995995217366592,0.0067921606276317575,0.21645397299615882,0.033045501523935164,0.14442249497265122,0.01383882348066222,0.020044280755543667,0.02852459522291672,0.026246436603459267
matched_human,0.016495455605817128,0.09236947791164662,0.06714809421535273,0.07707028313746403,0.7216292709252876,0.22719483394647402,0.16200308519085813,2.7708787052622834,1.8369270739720454,-0.012100258603846892,-0.10704012899392612,0.6460683998644352,0.9464,0.5334285710539136,0.6120714332376208,0.8040499938385827,0.9682671460083554,0.3490000069141388,0.5791142897946493,0.6798571433339801,0.8878642869847161,1.0737014278343748,0.389049997925758,0.6309719813855251,0.6120714332376208,0.1118212079259525,2.770878705262284,0.5649285657065255,0.6692142869744983,0.7389000049659185,1.3092890557523649,2.425334795848151,0.6981200756008779,0.6798571433339801,0.1189265054190334,1.8369270739720451,0.6236071437597275,0.749928572348186,0.827128574677876,1.30526358770835,2.083981660823737,0.7532596575117588,0.9804544914582329,0.037641591525837535,-0.09493987039007923,30-39,,,,,,,,,,
C0v2,0.0,0.08995983935742968,0.06570880823246077,0.08888869326623847,0.19410314959957944,0.058442683082680746,0.00910178435975762,-0.017019656764602587,-0.04257393867084599,,-0.03783003682869579,0.6481082251510522,0.9552,0.4610654292777609,0.616097776710621,0.8145018645889456,0.8817447687403389,0.3521390114270596,0.5264448502937301,0.6850946793878082,0.8792233729285795,0.9444427399481642,0.35573677464517506,0.6172522722990615,0.616097776710621,0.11981889017350848,-0.017019656764602587,0.5402031614769844,0.6983736481996681,0.7769126823449922,1.3220326650838587,1.2832889628380089,0.6829610805315224,0.6850946793878082,0.1211066916779406,-0.04257393867084599,0.5985158855245468,0.7677915889520056,0.8380606106560301,1.2835967472655623,1.223483443633182,0.8819263359009931,0.9403690189836738,0.001875069266224248,,30-39,,,,,,,,,,
C0v2_distance_to_matched_human,0.0,0.08995983935742968,0.06570880823246077,0.08888869326623847,0.19410314959957944,0.058442683082680746,0.00910178435975762,-0.017019656764602587,-0.04257393867084599,,-0.03783003682869579,0.6481082251510522,0.9552,0.4610654292777609,0.616097776710621,0.8145018645889456,0.8817447687403389,0.3521390114270596,0.5264448502937301,0.6850946793878082,0.8792233729285795,0.9444427399481642,0.35573677464517506,0.6172522722990615,0.616097776710621,0.11981889017350848,-0.017019656764602587,0.5402031614769844,0.6983736481996681,0.7769126823449922,1.3220326650838587,1.2832889628380089,0.6829610805315224,0.6850946793878082,0.1211066916779406,-0.04257393867084599,0.5985158855245468,0.7677915889520056,0.8380606106560301,1.2835967472655623,1.223483443633182,0.8819263359009931,0.9403690189836738,0.001875069266224248,,30-39,0.016495455605817128,0.0014392859828919607,0.011818410128774437,0.5275261213257082,0.06350564342129815,0.1529013008311005,0.01211515889510355,0.02838588285330404,0.0246429982214431,0.06921009216523033
matched_human,0.016166433681424425,0.08941459502806737,0.07512961872311066,0.07317740477827878,0.48743720249139855,0.16925245676992226,0.1939425049996833,4.043959268487237,1.9438589354409457,-0.020519687606675885,-0.08152539216243793,0.6285681998640299,0.9474,0.49222500026226046,0.5752499997615814,0.7821749962866305,0.9464749996364117,0.2877500057220459,0.5393250018358231,0.6493749916553497,0.8797750063240527,1.0672699975967406,0.35100001096725464,0.5945618508021818,0.5752499997615814,0.11379880777902447,4.043959268487238,0.5268125124275684,0.6346875093877316,0.7149000003933906,1.3596377711042318,2.490574184958631,0.6696914695252925,0.6493749916553497,0.12732783654573918,1.943858935440946,0.5861249938607216,0.7264374978840351,0.8164499998092651,1.3553498441381295,2.092647366852325,0.7953058292282431,0.9645582859981653,0.05764556806241043,-0.06100570455576204,40-49,,,,,,,,,,
C0v2,0.0,0.0721732157177225,0.06486701831456268,0.07226587457485312,0.35888947853159464,0.09060556418483823,0.001949866219610935,0.04214789365802767,-0.012428194964268766,,-0.0490951580725435,0.6271353517691152,0.964,0.482737134775843,0.5977955016231282,0.74879027243959,0.8106313800318896,0.2645040207952491,0.5468911486028946,0.6627993258524393,0.8050291139920479,0.8629646458099836,0.2594086283955205,0.5967151220277422,0.5977955016231282,0.08945138365338115,0.04214789365802767,0.5344723057667852,0.65708525066873,0.7118779631858085,1.2525814606852923,1.3127309125705027,0.661582140342305,0.6627993258524393,0.08936660320898905,-0.012428194964268766,0.5994611834171943,0.7226458955926225,0.775605550664402,1.2146188524394943,1.22861897184841,0.8677783251231528,0.958383889307991,-3.4432259414934885e-05,,40-49,,,,,,,,,,
C0v2_distance_to_matched_human,0.0,0.0721732157177225,0.06486701831456268,0.07226587457485312,0.35888947853159464,0.09060556418483823,0.001949866219610935,0.04214789365802767,-0.012428194964268766,,-0.0490951580725435,0.6271353517691152,0.964,0.482737134775843,0.5977955016231282,0.74879027243959,0.8106313800318896,0.2645040207952491,0.5468911486028946,0.6627993258524393,0.8050291139920479,0.8629646458099836,0.2594086283955205,0.5967151220277422,0.5977955016231282,0.08945138365338115,0.04214789365802767,0.5344723057667852,0.65708525066873,0.7118779631858085,1.2525814606852923,1.3127309125705027,0.661582140342305,0.6627993258524393,0.08936660320898905,-0.012428194964268766,0.5994611834171943,0.7226458955926225,0.775605550664402,1.2146188524394943,1.22861897184841,0.8677783251231528,0.958383889307991,-3.4432259414934885e-05,,40-49,0.016166433681424425,0.010262600408547984,0.0009115302034256589,0.1285477239598039,0.035678124290441246,0.19199263878007236,0.02206399709957527,0.021365325883605808,0.021799134618351056,0.03243023408989443
matched_human,0.009483274032444493,0.058330003995205715,0.073382628677204,0.050468857686554666,0.37967107152362495,0.12927511658758153,0.2674459186932529,1.8247367005870834,1.8426691355377394,-0.042356633798376064,-0.08676449919114704,0.6640163998574018,0.9654,0.5442727224393324,0.6141818138686094,0.7773318168791857,0.9190590780973433,0.27000004053115845,0.5899727290326898,0.6872272735292261,0.8953636375340548,1.0585745331915941,0.3352000355720519,0.6311638977358662,0.6141818138686094,0.08586047254911783,1.8247367005870834,0.5770227340134707,0.669568191875111,0.727509101412513,1.2651441336792772,2.3706678197702886,0.7045465264130704,0.6872272735292261,0.11285703194136064,1.8426691355377394,0.6321590895002539,0.7566818242723291,0.8328818174925718,1.3031888895540296,2.196122913814343,0.8540067422329762,0.9832818588205577,0.06839473456301999,-0.04440786539277097,50-59,,,,,,,,,,
