rt_bin,rt_coordinate_s,value,age_group,source,signature
1,0.5188416845485643,0.822829661844242,20-29,matched_human,H3_CAF
2,0.5806333224529971,0.9083484983134564,20-29,matched_human,H3_CAF
3,0.6282368625526404,0.9382915494295528,20-29,matched_human,H3_CAF
4,0.6850930106566452,0.9538858854903026,20-29,matched_human,H3_CAF
5,0.8301159780043902,0.9765471369265687,20-29,matched_human,H3_CAF
1,0.5100274971965274,0.032597257912052875,20-29,matched_human,H4_delta
2,0.5632172176926292,0.04582566500095974,20-29,matched_human,H4_delta
3,0.604793103757072,0.05798377881134472,20-29,matched_human,H4_delta
4,0.658803066687549,0.06384894790138329,20-29,matched_human,H4_delta
5,0.7945873727155551,0.0830018234398474,20-29,matched_human,H4_delta
1,0.49560016149147873,0.8772084636410411,20-29,C0v2,H3_CAF
2,0.5784877814902862,0.9456923597017196,20-29,C0v2,H3_CAF
3,0.6271413657290873,0.9169250421446521,20-29,C0v2,H3_CAF
4,0.6780924934827873,0.9320554647573501,20-29,C0v2,H3_CAF
5,0.7620298612977362,0.9633065597613847,20-29,C0v2,H3_CAF
1,0.4719035626485766,0.05737544814371409,20-29,C0v2,H4_delta
2,0.5525207556969023,0.056731322330609464,20-29,C0v2,H4_delta
3,0.5998143348374846,0.05848810952007166,20-29,C0v2,H4_delta
4,0.6500314091503768,0.06071909911621759,20-29,C0v2,H4_delta
5,0.7307806664267201,0.06835181317313639,20-29,C0v2,H4_delta
1,0.5569275881557262,0.7532596575117589,30-39,matched_human,H3_CAF
2,0.6266324520356361,0.8899242259208936,30-39,matched_human,H3_CAF
3,0.6726355693451008,0.9487775355643457,30-39,matched_human,H3_CAF
4,0.7286094667499954,0.9609255359879815,30-39,matched_human,H3_CAF
5,0.8624510695503069,0.980454491458233,30-39,matched_human,H3_CAF
1,0.5489203435485642,0.04578192432430047,30-39,matched_human,H4_delta
2,0.6052610034996295,0.06088820450516392,30-39,matched_human,H4_delta
3,0.6465510698680317,0.06760198570057262,30-39,matched_human,H4_delta
4,0.6969197173133297,0.07814077146237851,30-39,matched_human,H4_delta
5,0.8277903576152781,0.083423515850138,30-39,matched_human,H4_delta
1,0.5085275122444294,0.8819263359009931,30-39,C0v2,H3_CAF
2,0.6145021890599576,0.8869457349649664,30-39,C0v2,H3_CAF
3,0.6807364073115784,0.914736727979478,30-39,C0v2,H3_CAF
4,0.7467677380069133,0.9320252503296435,30-39,C0v2,H3_CAF
5,0.8492496622109634,0.9403690189836738,30-39,C0v2,H3_CAF
1,0.4807707555319768,0.0631080609510955,30-39,C0v2,H4_delta
2,0.5865204787851949,0.06376703645350883,30-39,C0v2,H4_delta
3,0.6508554160333849,0.06842651224662921,30-39,C0v2,H4_delta
4,0.7163090245374901,0.06893886811803439,30-39,C0v2,H4_delta
5,0.8194002475653933,0.06498313021731975,30-39,C0v2,H4_delta
1,0.5210981475777606,0.795305829228243,40-49,matched_human,H3_CAF
2,0.591645568858436,0.8838997077091706,40-49,matched_human,H3_CAF
3,0.6443530158092314,0.9539357065315961,40-49,matched_human,H3_CAF
4,0.7039233368803803,0.9563110584239951,40-49,matched_human,H3_CAF
5,0.8507831444492431,0.9645582859981653,40-49,matched_human,H3_CAF
1,0.5091639072791166,0.044912769196313804,40-49,matched_human,H4_delta
2,0.5684442773253676,0.06386008431070395,40-49,matched_human,H4_delta
3,0.6125701055515181,0.07620380895899811,40-49,matched_human,H4_delta
4,0.6659908994771976,0.088261769904939,40-49,matched_human,H4_delta
5,0.8059288297189033,0.10255833725872424,40-49,matched_human,H4_delta
1,0.5305176376449954,0.8677783251231528,40-49,C0v2,H3_CAF
2,0.6087755546819066,0.9149515893313848,40-49,C0v2,H3_CAF
3,0.6584269644144431,0.9436329436998446,40-49,C0v2,H3_CAF
4,0.708533160279686,0.9543385842294378,40-49,C0v2,H3_CAF
5,0.7843529414395372,0.958383889307991,40-49,C0v2,H3_CAF
1,0.5043689286452517,0.06403883701924651,40-49,C0v2,H4_delta
2,0.5804055683198445,0.06474935072735935,40-49,C0v2,H4_delta
