rt_bin,rt_coordinate_s,value,signature,source
1,0.5771042231090627,0.842346231042811,H3_CAF,matched_human
2,0.6492121014353901,0.9211955316246794,H3_CAF,matched_human
3,0.7036446508002494,0.9489714531838185,H3_CAF,matched_human
4,0.7681140384983665,0.9609445923541305,H3_CAF,matched_human
5,0.9524061493287168,0.9776664982505477,H3_CAF,matched_human
1,0.5663144701970958,0.03785378207550694,H4_delta,matched_human
2,0.6278114415157784,0.053429290989983724,H4_delta,matched_human
3,0.6755062110130261,0.06661072011527486,H4_delta,matched_human
4,0.7365040040314998,0.07348158949519838,H4_delta,matched_human
5,0.9108419168389355,0.09491544090256798,H4_delta,matched_human
1,0.565441071864612,0.8324420050479211,H3_CAF,C0v2
2,0.7098547875382611,0.9162085007117129,H3_CAF,C0v2
3,0.7986722244567377,0.9632988306054425,H3_CAF,C0v2
4,0.8853515533987066,0.9672796719437629,H3_CAF,C0v2
5,1.0356142277601308,0.9974972171654793,H3_CAF,C0v2
1,0.47538700809392265,0.21611686413695702,H4_delta,C0v2
2,0.6054960411776223,0.2334123464972743,H4_delta,C0v2
3,0.6825734300405911,0.24969863016934885,H4_delta,C0v2
4,0.7622377751593228,0.2638462239193649,H4_delta,C0v2
5,0.8935191523693363,0.29725754035905594,H4_delta,C0v2
