user_id,age_group,n_congruent_correct,n_incongruent_correct,eligible_h4,source
1478,young_20_29,86,78,True,human
182,young_20_29,136,129,True,human
2410,older_80_89,619,581,True,human
2553,young_20_29,105,98,True,human
2918,young_20_29,627,579,True,human
3403,older_80_89,505,489,True,human
3875,young_20_29,301,276,True,human
4398,young_20_29,106,100,True,human
4790,young_20_29,95,88,True,human
5256,young_20_29,90,82,True,human
5675,young_20_29,581,546,True,human
6609,older_80_89,684,680,True,human
677,young_20_29,111,104,True,human
7862,young_20_29,117,111,True,human
899,young_20_29,102,99,True,human
984,older_80_89,676,644,True,human
1478,young_20_29,88,83,True,model
182,young_20_29,136,126,True,model
2410,older_80_89,627,600,True,model
2553,young_20_29,105,100,True,model
2918,young_20_29,649,591,True,model
3403,older_80_89,510,486,True,model
3875,young_20_29,307,290,True,model
4398,young_20_29,106,102,True,model
4790,young_20_29,99,92,True,model
5256,young_20_29,90,88,True,model
5675,young_20_29,587,530,True,model
6609,older_80_89,684,648,True,model
677,young_20_29,113,99,True,model
7862,young_20_29,120,107,True,model
899,young_20_29,102,94,True,model
984,older_80_89,688,654,True,model
