analysis_group,row_index,user_id,congruency,target_label,flanker_label,committed_winner,model_correct,commitment_step,commitment_time_s,pred_rt_s,target_state_at_commitment,strongest_wrong_state_at_commitment,target_minus_wrong_at_commitment,first_meaningful_step,first_meaningful_leader,first_meaningful_leader_wrong,any_wrong_leader_before_commitment,wrong_state_peak_before_commitment,distance_wrong_peak_to_threshold,precommit_reversal_step,precommit_reversal_time_s,trajectory_class,postcommit_target_recovery,postcommit_target_recovery_step,postcommit_recovery_delay_s,early_target_minus_flanker_input,rt_outcome_class,target_state_peak_before_commitment,early_target_evidence,early_flanker_evidence
young_20_29,27932,2918,congruent,1,1,1,True,3,0.03,0.3277360253047429,0.13005712628364563,0.08633045107126236,0.04372667521238327,0,1,False,False,0.09631321579217911,0.023686784207820888,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12222160398960114,1.8968706130981445,1.8968706130981445
young_20_29,109710,2918,incongruent,2,1,2,True,27,0.27,0.7286617827501556,0.12461480498313904,0.10205046087503433,0.022564344108104706,0,1,True,True,0.10774175077676773,0.012258249223232265,19,0.19,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.3592671751976013,FAST CORRECT,0.12221032381057739,0.32462042570114136,0.6838876008987427
young_20_29,171568,2918,congruent,0,0,0,True,3,0.03,0.4887428876849332,0.1427389532327652,0.08573836088180542,0.05700059235095978,0,0,False,False,0.09615820646286011,0.023841793537139888,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.13092182576656342,2.2727622985839844,2.2727622985839844
young_20_29,38572,2918,congruent,2,2,2,True,6,0.06,0.49121637992165185,0.125360906124115,0.08005153387784958,0.04530937224626541,0,2,False,False,0.09651942551136017,0.023480574488639827,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12154174596071243,1.2713161706924438,1.2713161706924438
young_20_29,56466,2918,congruent,3,3,3,True,3,0.03,0.6879149488660219,0.13930213451385498,0.08403202146291733,0.05527011305093765,0,3,False,False,0.09562617540359497,0.024373824596405025,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12861186265945435,2.1776270866394043,2.1776270866394043
young_20_29,11108,899,incongruent,1,0,1,True,39,0.39,0.9377735699923345,0.12341511994600296,0.07405727356672287,0.04935784637928009,0,0,True,True,0.10040739923715591,0.01959260076284408,19,0.19,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.3671590983867645,SLOW CORRECT,0.12110083550214767,0.09410282224416733,0.46126192808151245
young_20_29,29633,182,incongruent,1,0,1,True,35,0.35000000000000003,0.9426402494126627,0.12354332208633423,0.07232827693223953,0.051215045154094696,0,0,True,True,0.10130294412374496,0.01869705587625503,16,0.16,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.3192853629589081,SLOW CORRECT,0.12130660563707352,0.16364797949790955,0.4829333424568176
young_20_29,1455,5256,incongruent,3,2,3,True,27,0.27,0.6017830495386154,0.122548907995224,0.10198318958282471,0.020565718412399292,0,2,True,True,0.10984727740287781,0.010152722597122188,20,0.2,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.34614086151123047,FAST CORRECT,0.12059534341096878,0.38246721029281616,0.7286080718040466
young_20_29,2688,3875,congruent,0,0,0,True,4,0.04,0.36952559678157487,0.13205589354038239,0.08489561825990677,0.047160275280475616,0,0,False,False,0.09664328396320343,0.023356716036796565,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12471593171358109,1.7024725675582886,1.7024725675582886
young_20_29,8779,899,congruent,1,1,1,True,5,0.05,0.5530008861453196,0.12675179541110992,0.08198603987693787,0.04476575553417206,0,1,False,False,0.09653564542531967,0.023464354574680324,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12196454405784607,1.4154298305511475,1.4154298305511475
young_20_29,38976,2918,congruent,0,0,0,True,4,0.04,0.4777653469920255,0.12749409675598145,0.08555406332015991,0.04194003343582153,0,0,False,False,0.09675369411706924,0.02324630588293075,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12122924625873566,1.5717928409576416,1.5717928409576416
young_20_29,60310,3875,congruent,0,0,0,True,3,0.03,0.6097514257846204,0.13008759915828705,0.08712053298950195,0.042967066168785095,0,0,False,False,0.09651274979114532,0.02348725020885467,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12166183441877365,1.8696937561035156,1.8696937561035156
young_20_29,9699,677,congruent,1,1,1,True,3,0.03,0.4299017455923161,0.13667583465576172,0.0860079750418663,0.050667859613895416,0,1,False,False,0.09619299322366714,0.02380700677633285,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.127016082406044,2.110736608505249,2.110736608505249
young_20_29,9907,677,congruent,0,0,0,True,4,0.04,0.20003845436634854,0.12863731384277344,0.08668147772550583,0.04195583611726761,0,0,False,False,0.09703812748193741,0.022961872518062587,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12205954641103745,1.6037256717681885,1.6037256717681885
young_20_29,10236,5675,congruent,0,0,0,True,4,0.04,0.5037168338033158,0.1304561197757721,0.08504050970077515,0.04541561007499695,0,0,False,False,0.09664695709943771,0.023353042900562282,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12351807951927185,1.6584550142288208,1.6584550142288208
young_20_29,51527,5675,incongruent,2,0,2,True,35,0.35000000000000003,0.7111292199237792,0.12272271513938904,0.06614170968532562,0.056581005454063416,0,0,True,True,0.09993042796850204,0.02006957203149795,10,0.1,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.03813087195158005,FAST CORRECT,0.12099514156579971,0.32155507802963257,0.3596859574317932
young_20_29,12416,2553,incongruent,3,2,3,True,29,0.29,0.7669921939053924,0.12299585342407227,0.09189282357692719,0.03110302984714508,0,2,True,True,0.10347234457731247,0.016527655422687526,18,0.18,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.2510794401168823,FAST CORRECT,0.12078651040792465,0.3416794240474701,0.59275883436203
young_20_29,16763,5675,incongruent,0,2,0,True,40,0.4,0.8090303928173248,0.12459170073270798,0.08214566856622696,0.04244603216648102,0,2,True,True,0.1078534796833992,0.012146520316600795,26,0.26,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.41655588150024414,FAST CORRECT,0.12209407985210419,0.28013846278190613,0.6966943144798279
young_20_29,62692,5675,congruent,3,3,3,True,5,0.05,0.4924434880204803,0.12564657628536224,0.08162161707878113,0.044024959206581116,0,3,False,False,0.09630834311246872,0.023691656887531276,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.121033675968647,1.3848037719726562,1.3848037719726562
young_20_29,97465,2918,congruent,3,3,3,True,6,0.06,0.6096461811890075,0.12644508481025696,0.08027198165655136,0.0461731031537056,0,3,False,False,0.09660359472036362,0.02339640527963638,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.1222437173128128,1.2903430461883545,1.2903430461883545
young_20_29,8706,2553,incongruent,1,3,1,True,25,0.25,0.5545780908974058,0.12374088168144226,0.11233323812484741,0.011407643556594849,0,3,True,True,0.11368359625339508,0.006316403746604915,21,0.21,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.30421483516693115,FAST CORRECT,0.12098569422960281,0.445472776889801,0.7496876120567322
young_20_29,130534,2918,congruent,1,1,1,True,4,0.04,0.34284856326992064,0.12949103116989136,0.08453253656625748,0.04495849460363388,0,1,False,False,0.09649042785167694,0.023509572148323055,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12276216596364975,1.6298938989639282,1.6298938989639282
young_20_29,146826,2918,congruent,0,0,0,True,4,0.04,0.45773486248235296,0.13194389641284943,0.08536834269762039,0.046575553715229034,0,0,False,False,0.09673862904310226,0.02326137095689773,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12469027936458588,1.7019660472869873,1.7019660472869873
young_20_29,101387,2918,incongruent,0,1,0,True,38,0.38,1.028949877427138,0.12386336922645569,0.0743124932050705,0.04955087602138519,0,1,True,True,0.09909408539533615,0.020905914604663844,9,0.09,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,0.00304538756608963,SLOW CORRECT,0.12149008363485336,0.2842246890068054,0.2811793386936188
young_20_29,9559,5675,congruent,0,0,0,True,4,0.04,0.4923100570738217,0.13084810972213745,0.08532166481018066,0.04552644491195679,0,0,False,False,0.09673547744750977,0.02326452255249023,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12380397319793701,1.6691488027572632,1.6691488027572632
young_20_29,46007,5675,congruent,3,3,3,True,6,0.06,0.5122132913507998,0.12388400733470917,0.08002633601427078,0.043857671320438385,0,3,False,False,0.09641348570585251,0.023586514294147487,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12032385170459747,1.2365450859069824,1.2365450859069824
young_20_29,160417,2918,incongruent,0,3,0,True,30,0.3,0.8806952475268364,0.12570124864578247,0.10047540813684464,0.025225840508937836,0,3,True,True,0.10302630811929703,0.016973691880702968,21,0.21,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.1562458574771881,SLOW CORRECT,0.12245460599660873,0.4115028381347656,0.5677486658096313
young_20_29,84436,5675,incongruent,3,1,3,True,33,0.33,0.619093134138034,0.12235838174819946,0.09335561841726303,0.029002763330936432,0,1,True,True,0.10447044670581818,0.01552955329418182,20,0.2,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.2638586461544037,FAST CORRECT,0.12034774571657181,0.35606080293655396,0.6199194192886353
young_20_29,34888,7862,congruent,3,3,3,True,7,0.07,0.6286231897249104,0.12703265249729156,0.07799585908651352,0.049036793410778046,0,3,False,False,0.09653723239898682,0.02346276760101318,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12341322749853134,1.2193491458892822,1.2193491458892822
young_20_29,34659,182,incongruent,0,3,0,True,28,0.28,0.48501305382085497,0.12467458844184875,0.09921538084745407,0.025459207594394684,0,3,True,True,0.10426142811775208,0.01573857188224792,19,0.19,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.19770300388336182,FAST CORRECT,0.12133507430553436,0.4120352268218994,0.6097382307052612
young_20_29,100297,5675,incongruent,2,1,2,True,26,0.26,0.7505333090461586,0.1228981763124466,0.1113126203417778,0.011585555970668793,0,1,True,True,0.11319121718406677,0.006808782815933223,22,0.22,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.36337393522262573,FAST CORRECT,0.12070741504430771,0.4019753336906433,0.765349268913269
young_20_29,33708,7862,incongruent,1,3,1,True,20,0.2,0.6256849697416128,0.1249929666519165,0.10731976479291916,0.017673201858997345,0,3,True,True,0.10822028666734695,0.011779713332653041,13,0.13,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.08428815752267838,FAST CORRECT,0.12221912294626236,0.6060205698013306,0.690308690071106
young_20_29,20404,677,incongruent,1,3,3,False,14,0.14,0.6327991339537814,0.1044297143816948,0.12192382663488388,-0.017494112253189087,0,3,True,True,0.12089359015226364,-0.0008935901522636458,-1,,WRONG-COMMITMENT -> ERROR,True,27.0,0.13,-0.3564121127128601,FAST ERROR,0.1034315899014473,0.5253170728683472,0.8817293047904968
young_20_29,178324,2918,incongruent,0,1,0,True,30,0.3,0.6245548212330582,0.12305784970521927,0.09706129878759384,0.025996550917625427,0,1,True,True,0.10621970146894455,0.013780298531055446,22,0.22,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.3692370355129242,FAST CORRECT,0.12043647468090057,0.27822887897491455,0.6474659442901611
young_20_29,97415,5675,congruent,3,3,3,True,3,0.03,0.28139656246094336,0.13530680537223816,0.08475014567375183,0.05055665969848633,0,3,False,False,0.09584833681583405,0.02415166318416595,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.1259249448776245,2.0631473064422607,2.0631473064422607
young_20_29,14471,2918,congruent,1,1,1,True,4,0.04,0.6351020620571763,0.13350093364715576,0.08297291398048401,0.05052801966667175,0,1,False,False,0.09622225910425186,0.023777740895748134,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12611573934555054,1.75381600856781,1.75381600856781
young_20_29,17313,5675,incongruent,1,2,1,True,25,0.25,0.6084816646243556,0.12419316917657852,0.10230803489685059,0.021885134279727936,0,2,True,True,0.10898593068122864,0.011014069318771358,19,0.19,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.3264329731464386,FAST CORRECT,0.12149414420127869,0.38558560609817505,0.7120185494422913
young_20_29,174069,2918,congruent,0,0,0,True,3,0.03,0.4900405922970603,0.12792889773845673,0.08717981725931168,0.04074908047914505,0,0,False,False,0.09652292728424072,0.023477072715759273,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12026242166757584,1.8035869598388672,1.8035869598388672
young_20_29,32588,3875,incongruent,3,1,3,True,29,0.29,0.8219297339408907,0.12297074496746063,0.10662052035331726,0.01635022461414337,0,1,True,True,0.10864419490098953,0.011355805099010463,23,0.23,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.2849771976470947,FAST CORRECT,0.12044534087181091,0.39656585454940796,0.6815430521965027
young_20_29,2719,4790,congruent,1,1,1,True,3,0.03,0.3301466762539739,0.13143302500247955,0.08567116409540176,0.04576186090707779,0,1,False,False,0.09600095450878143,0.023999045491218562,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12316234409809113,1.9400453567504883,1.9400453567504883
young_20_29,96956,5675,congruent,0,0,0,True,3,0.03,0.4920032186804842,0.13518598675727844,0.08654843270778656,0.04863755404949188,0,0,False,False,0.0963888168334961,0.023611183166503902,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12537531554698944,2.0384771823883057,2.0384771823883057
young_20_29,17333,2918,congruent,0,0,0,True,3,0.03,0.49990636031845265,0.14259029924869537,0.08524982631206512,0.05734047293663025,0,0,False,False,0.09604763239622116,0.023952367603778835,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.13047663867473602,2.253864288330078,2.253864288330078
young_20_29,24357,3875,congruent,0,0,0,True,4,0.04,0.3928583926921591,0.12956060469150543,0.08493977040052414,0.04462083429098129,0,0,False,False,0.0966164767742157,0.023383523225784297,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12297184020280838,1.6384735107421875,1.6384735107421875
young_20_29,20455,1478,congruent,2,2,2,True,4,0.04,0.5563961559270332,0.13296131789684296,0.08392539620399475,0.049035921692848206,0,2,False,False,0.09634754806756973,0.023652451932430263,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12587743997573853,1.7457044124603271,1.7457044124603271
young_20_29,46869,2918,congruent,2,2,2,True,4,0.04,0.5732723710792171,0.1263149529695511,0.08321034163236618,0.043104611337184906,0,2,False,False,0.09621275961399078,0.023787240386009212,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12063641846179962,1.5494309663772583,1.5494309663772583
young_20_29,18943,2918,incongruent,0,3,0,True,28,0.28,0.7594307749952222,0.12595094740390778,0.09832903742790222,0.027621909976005554,0,3,True,True,0.10313758999109268,0.016862410008907314,19,0.19,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.1969926655292511,FAST CORRECT,0.1224542036652565,0.3877851665019989,0.58477783203125
young_20_29,11560,5675,incongruent,2,1,1,False,10,0.1,0.4539471437795187,0.1043916791677475,0.12139376997947693,-0.01700209081172943,0,1,True,True,0.1206260472536087,-0.000626047253608708,-1,,WRONG-COMMITMENT -> ERROR,True,16.0,0.06,-0.4129410684108734,FAST ERROR,0.10244613885879517,0.5663501024246216,0.9792912602424622
