condition_id,signature,scope,value,n
B0,H6_error_rt,congruent,,1533
B0,H6_error_rt,incongruent,-0.19489110692254968,1539
B0,H2_accuracy_cost,overall,0.05198180636777128,3072
B0,H2_rt_cost,overall,0.25378975088660266,3072
B0,H1_response_variability,overall,,3072
B1_01,H6_error_rt,congruent,,1533
B1_01,H6_error_rt,incongruent,-0.19707881047338308,1539
B1_01,H2_accuracy_cost,overall,0.05133203378817419,3072
B1_01,H2_rt_cost,overall,0.25429091500949225,3072
B1_01,H1_response_variability,overall,,3072
B1_05,H6_error_rt,congruent,,1533
B1_05,H6_error_rt,incongruent,-0.19663745704467356,1539
B1_05,H2_accuracy_cost,overall,0.05458089668615984,3072
B1_05,H2_rt_cost,overall,0.25414844823881116,3072
B1_05,H1_response_variability,overall,,3072
B1_09,H6_error_rt,congruent,,1533
B1_09,H6_error_rt,incongruent,-0.20487163686998838,1539
B1_09,H2_accuracy_cost,overall,0.05588044184535412,3072
B1_09,H2_rt_cost,overall,0.2533836493822075,3072
B1_09,H1_response_variability,overall,,3072
B1_13,H6_error_rt,congruent,,1533
B1_13,H6_error_rt,incongruent,-0.1969248309346281,1539
B1_13,H2_accuracy_cost,overall,0.05133203378817419,3072
B1_13,H2_rt_cost,overall,0.25425185236048015,3072
B1_13,H1_response_variability,overall,,3072
B1_17,H6_error_rt,congruent,,1533
B1_17,H6_error_rt,incongruent,-0.19649779086892488,1539
B1_17,H2_accuracy_cost,overall,0.05458089668615984,3072
B1_17,H2_rt_cost,overall,0.2540897906867626,3072
B1_17,H1_response_variability,overall,,3072
B1_21,H6_error_rt,congruent,,1533
B1_21,H6_error_rt,incongruent,-0.2057421312403916,1539
B1_21,H2_accuracy_cost,overall,0.05523066926575704,3072
B1_21,H2_rt_cost,overall,0.25343537687445405,3072
B1_21,H1_response_variability,overall,,3072
B1_25,H6_error_rt,congruent,,1533
B1_25,H6_error_rt,incongruent,-0.19501610692254967,1539
B1_25,H2_accuracy_cost,overall,0.05198180636777128,3072
B1_25,H2_rt_cost,overall,0.2537767300035985,3072
B1_25,H1_response_variability,overall,,3072
B1_29,H6_error_rt,congruent,,1533
B1_29,H6_error_rt,incongruent,-0.1951616689513365,1539
B1_29,H2_accuracy_cost,overall,0.05198180636777128,3072
B1_29,H2_rt_cost,overall,0.25382234124123093,3072
B1_29,H1_response_variability,overall,,3072
B1_33,H6_error_rt,congruent,,1533
B1_33,H6_error_rt,incongruent,-0.19510973936899864,1539
B1_33,H2_accuracy_cost,overall,0.052631578947368474,3072
B1_33,H2_rt_cost,overall,0.2536729189793357,3072
B1_33,H1_response_variability,overall,,3072
B2_02,H6_error_rt,congruent,,1533
B2_02,H6_error_rt,incongruent,-0.19736797767598585,1539
B2_02,H2_accuracy_cost,overall,0.050682261208576995,3072
B2_02,H2_rt_cost,overall,0.2544535870371006,3072
B2_02,H1_response_variability,overall,,3072
B2_03,H6_error_rt,congruent,,1533
B2_03,H6_error_rt,incongruent,-0.19717270417680816,1539
B2_03,H2_accuracy_cost,overall,0.05003248862897991,3072
B2_03,H2_rt_cost,overall,0.25453176319794923,3072
B2_03,H1_response_variability,overall,,3072
B2_04,H6_error_rt,congruent,,1533
B2_04,H6_error_rt,incongruent,-0.1992105263157895,1539
B2_04,H2_accuracy_cost,overall,0.04938271604938271,3072
B2_04,H2_rt_cost,overall,0.2544076451911107,3072
B2_04,H1_response_variability,overall,,3072
B2_06,H6_error_rt,congruent,,1533
B2_06,H6_error_rt,incongruent,-0.19739135111876083,1539
B2_06,H2_accuracy_cost,overall,0.053931124106562756,3072
B2_06,H2_rt_cost,overall,0.25416814486749595,3072
B2_06,H1_response_variability,overall,,3072
B2_07,H6_error_rt,congruent,,1533
B2_07,H6_error_rt,incongruent,-0.2001576209467661,1539
B2_07,H2_accuracy_cost,overall,0.05133203378817419,3072
B2_07,H2_rt_cost,overall,0.2541879940846535,3072
B2_07,H1_response_variability,overall,,3072
B2_08,H6_error_rt,congruent,,1533
B2_08,H6_error_rt,incongruent,-0.20126772352143563,1539
B2_08,H2_accuracy_cost,overall,0.05328135152696556,3072
B2_08,H2_rt_cost,overall,0.2534344613436178,3072
B2_08,H1_response_variability,overall,,3072
B2_10,H6_error_rt,congruent,,1533
B2_10,H6_error_rt,incongruent,-0.20349896480331262,1539
B2_10,H2_accuracy_cost,overall,0.05847953216374269,3072
B2_10,H2_rt_cost,overall,0.2530009193455481,3072
B2_10,H1_response_variability,overall,,3072
B2_11,H6_error_rt,congruent,,1533
B2_11,H6_error_rt,incongruent,-0.20715423214446682,1539
B2_11,H2_accuracy_cost,overall,0.05977907732293697,3072
B2_11,H2_rt_cost,overall,0.2526124290940441,3072
B2_11,H1_response_variability,overall,,3072
B2_12,H6_error_rt,congruent,,1533
B2_12,H6_error_rt,incongruent,-0.22588501742160283,1539
B2_12,H2_accuracy_cost,overall,0.06757634827810266,3072
B2_12,H2_rt_cost,overall,0.24762966523360663,3072
B2_12,H1_response_variability,overall,,3072
B2_14,H6_error_rt,congruent,,1533
B2_14,H6_error_rt,incongruent,-0.19721239403990942,1539
B2_14,H2_accuracy_cost,overall,0.050682261208576995,3072
B2_14,H2_rt_cost,overall,0.25442757070250466,3072
B2_14,H1_response_variability,overall,,3072
B2_15,H6_error_rt,congruent,,1533
B2_15,H6_error_rt,incongruent,-0.1967899337324781,1539
B2_15,H2_accuracy_cost,overall,0.05003248862897991,3072
B2_15,H2_rt_cost,overall,0.2545055688434684,3072
B2_15,H1_response_variability,overall,,3072
B2_16,H6_error_rt,congruent,,1533
B2_16,H6_error_rt,incongruent,-0.1970565139374989,1539
B2_16,H2_accuracy_cost,overall,0.05003248862897991,3072
B2_16,H2_rt_cost,overall,0.25438165428792686,3072
B2_16,H1_response_variability,overall,,3072
B2_18,H6_error_rt,congruent,,1533
B2_18,H6_error_rt,incongruent,-0.19668090328915072,1539
B2_18,H2_accuracy_cost,overall,0.05458089668615984,3072
B2_18,H2_rt_cost,overall,0.25410309131529996,3072
B2_18,H1_response_variability,overall,,3072
B2_19,H6_error_rt,congruent,,1533
B2_19,H6_error_rt,incongruent,-0.1989459389993146,1539
B2_19,H2_accuracy_cost,overall,0.05198180636777128,3072
B2_19,H2_rt_cost,overall,0.25403171805719277,3072
B2_19,H1_response_variability,overall,,3072
B2_20,H6_error_rt,congruent,,1533
B2_20,H6_error_rt,incongruent,-0.2024802323565112,1539
B2_20,H2_accuracy_cost,overall,0.05133203378817419,3072
B2_20,H2_rt_cost,overall,0.2537592459077679,3072
B2_20,H1_response_variability,overall,,3072
B2_22,H6_error_rt,congruent,,1533
B2_22,H6_error_rt,incongruent,-0.2040445563734986,1539
B2_22,H2_accuracy_cost,overall,0.0578297595841456,3072
B2_22,H2_rt_cost,overall,0.2530919129381038,3072
B2_22,H1_response_variability,overall,,3072
B2_23,H6_error_rt,congruent,,1533
B2_23,H6_error_rt,incongruent,-0.20838866723662963,1539
B2_23,H2_accuracy_cost,overall,0.05653021442495132,3072
B2_23,H2_rt_cost,overall,0.25308635617455616,3072
B2_23,H1_response_variability,overall,,3072
B2_24,H6_error_rt,congruent,,1533
B2_24,H6_error_rt,incongruent,-0.22471427053609372,1539
B2_24,H2_accuracy_cost,overall,0.05912930474333988,3072
B2_24,H2_rt_cost,overall,0.2504169861487814,3072
B2_24,H1_response_variability,overall,,3072
B2_26,H6_error_rt,congruent,,1533
B2_26,H6_error_rt,incongruent,-0.19489110692254968,1539
B2_26,H2_accuracy_cost,overall,0.05198180636777128,3072
B2_26,H2_rt_cost,overall,0.2538027972010187,3072
B2_26,H1_response_variability,overall,,3072
B2_27,H6_error_rt,congruent,,1533
B2_27,H6_error_rt,incongruent,-0.19473251028806585,1539
B2_27,H2_accuracy_cost,overall,0.052631578947368474,3072
B2_27,H2_rt_cost,overall,0.2536598218020953,3072
B2_27,H1_response_variability,overall,,3072
B2_28,H6_error_rt,congruent,,1533
B2_28,H6_error_rt,incongruent,-0.1952057613168724,1539
B2_28,H2_accuracy_cost,overall,0.052631578947368474,3072
B2_28,H2_rt_cost,overall,0.2536208608787316,3072
B2_28,H1_response_variability,overall,,3072
B2_30,H6_error_rt,congruent,,1533
B2_30,H6_error_rt,incongruent,-0.19488340192043896,1539
B2_30,H2_accuracy_cost,overall,0.052631578947368474,3072
B2_30,H2_rt_cost,overall,0.25371193076552356,3072
B2_30,H1_response_variability,overall,,3072
B2_31,H6_error_rt,congruent,,1533
B2_31,H6_error_rt,incongruent,-0.19495884773662547,1539
B2_31,H2_accuracy_cost,overall,0.052631578947368474,3072
B2_31,H2_rt_cost,overall,0.2536534258019478,3072
B2_31,H1_response_variability,overall,,3072
