condition_id,lag,n,risk_after_correct,risk_after_error,delta
B0,1,2944,0.026168876482903,0.01282051282051282,-0.01334836366239018
B0,2,2831,0.027183762232693004,0.013888888888888888,-0.013294873343804116
B0,3,2728,0.026701767581797667,0.028985507246376812,0.002283739664579145
B0,4,2631,0.027279812938425563,0.03076923076923077,0.0034894178308052075
B0,5,2536,0.025060630557801132,0.0967741935483871,0.07171356299058596
B1_01,1,2944,0.025810952214858737,0.012987012987012988,-0.012823939227845749
B1_01,2,2831,0.02681159420289855,0.014084507042253521,-0.012727087160645028
B1_01,3,2728,0.02631578947368421,0.029411764705882353,0.0030959752321981435
B1_01,4,2631,0.026890101325019487,0.03076923076923077,0.0038791294442112843
B1_01,5,2536,0.02465642683912692,0.0967741935483871,0.07211776670926018
B1_05,1,2944,0.027253668763102725,0.024390243902439025,-0.0028634248606637
B1_05,2,2831,0.0279491833030853,0.02631578947368421,-0.0016333938294010898
B1_05,3,2728,0.028237951807228916,0.027777777777777776,-0.00046017402945114014
B1_05,4,2631,0.02849336455893833,0.028985507246376812,0.0004921426874384821
B1_05,5,2536,0.02633711507293355,0.08823529411764706,0.061898179044713515
B1_09,1,2944,0.027972027972027972,0.023809523809523808,-0.004162504162504164
B1_09,2,2831,0.028716830243547802,0.025,-0.003716830243547801
B1_09,3,2728,0.029045643153526972,0.03896103896103896,0.009915395807511988
B1_09,4,2631,0.029710711493354185,0.0273972602739726,-0.0023134512193815834
B1_09,5,2536,0.028803245436105476,0.056338028169014086,0.02753478273290861
B1_13,1,2944,0.025810952214858737,0.012987012987012988,-0.012823939227845749
B1_13,2,2831,0.02681159420289855,0.014084507042253521,-0.012727087160645028
B1_13,3,2728,0.02631578947368421,0.029411764705882353,0.0030959752321981435
B1_13,4,2631,0.026890101325019487,0.03076923076923077,0.0038791294442112843
B1_13,5,2536,0.02465642683912692,0.0967741935483871,0.07211776670926018
B1_17,1,2944,0.027253668763102725,0.024390243902439025,-0.0028634248606637
B1_17,2,2831,0.0279491833030853,0.02631578947368421,-0.0016333938294010898
B1_17,3,2728,0.028237951807228916,0.027777777777777776,-0.00046017402945114014
B1_17,4,2631,0.02849336455893833,0.028985507246376812,0.0004921426874384821
B1_17,5,2536,0.02633711507293355,0.08823529411764706,0.061898179044713515
B1_21,1,2944,0.027962250961202376,0.012048192771084338,-0.015914058190118038
B1_21,2,2831,0.028343023255813952,0.02531645569620253,-0.0030265675596114205
B1_21,3,2728,0.02865761689291101,0.039473684210526314,0.010816067317615304
B1_21,4,2631,0.029308323563892145,0.027777777777777776,-0.0015305457861143693
B1_21,5,2536,0.028397565922920892,0.056338028169014086,0.027940462246093194
B1_25,1,2944,0.026168876482903,0.01282051282051282,-0.01334836366239018
B1_25,2,2831,0.027183762232693004,0.013888888888888888,-0.013294873343804116
B1_25,3,2728,0.026701767581797667,0.028985507246376812,0.002283739664579145
B1_25,4,2631,0.027279812938425563,0.03076923076923077,0.0034894178308052075
B1_25,5,2536,0.025060630557801132,0.0967741935483871,0.07171356299058596
B1_29,1,2944,0.026168876482903,0.01282051282051282,-0.01334836366239018
B1_29,2,2831,0.027183762232693004,0.013888888888888888,-0.013294873343804116
B1_29,3,2728,0.026701767581797667,0.028985507246376812,0.002283739664579145
B1_29,4,2631,0.027279812938425563,0.03076923076923077,0.0034894178308052075
B1_29,5,2536,0.025060630557801132,0.0967741935483871,0.07171356299058596
B1_33,1,2944,0.02617801047120419,0.02531645569620253,-0.0008615547750016571
B1_33,2,2831,0.02755620014503263,0.0136986301369863,-0.01385757000804633
B1_33,3,2728,0.02708803611738149,0.02857142857142857,0.0014833924540470812
B1_33,4,2631,0.027680311890838208,0.030303030303030304,0.002622718412192096
B1_33,5,2536,0.025464834276475345,0.0967741935483871,0.07130935927191175
B2_02,1,2944,0.025453277545327755,0.013157894736842105,-0.01229538280848565
B2_02,2,2831,0.026439695762404927,0.014285714285714285,-0.012153981476690641
B2_02,3,2728,0.02593010146561443,0.029850746268656716,0.003920644803042286
B2_02,4,2631,0.0264797507788162,0.031746031746031744,0.005266280967215545
B2_02,5,2536,0.024646464646464646,0.08196721311475409,0.05732074846828945
B2_03,1,2944,0.025095852213314743,0.013333333333333334,-0.011762518879981409
B2_03,2,2831,0.02606806661839247,0.014492753623188406,-0.011575312995204064
B2_03,3,2728,0.025544703230653644,0.030303030303030304,0.00475832707237666
B2_03,4,2631,0.026080186843129623,0.03225806451612903,0.006177877672999408
B2_03,5,2536,0.024242424242424242,0.08196721311475409,0.057724788872329846
B2_04,1,2944,0.024738675958188152,0.013513513513513514,-0.011225162444674638
B2_04,2,2831,0.02606806661839247,0.0,-0.02606806661839247
B2_04,3,2728,0.025544703230653644,0.030303030303030304,0.00475832707237666
B2_04,4,2631,0.026080186843129623,0.03225806451612903,0.006177877672999408
B2_04,5,2536,0.024242424242424242,0.08196721311475409,0.057724788872329846
B2_06,1,2944,0.026904262753319357,0.024390243902439025,-0.0025140188508803313
B2_06,2,2831,0.0279491833030853,0.013157894736842105,-0.014791288566243194
B2_06,3,2728,0.02786144578313253,0.027777777777777776,-8.366800535475338e-05
B2_06,4,2631,0.02809207959422552,0.029411764705882353,0.001319685111656834
B2_06,5,2536,0.026731470230862697,0.07462686567164178,0.04789539544077909
B2_07,1,2944,0.026159748866410884,0.0,-0.026159748866410884
B2_07,2,2831,0.026458861906487857,0.013888888888888888,-0.012569973017598969
B2_07,3,2728,0.02671181339352897,0.02857142857142857,0.0018596151778995998
B2_07,4,2631,0.02729044834307992,0.030303030303030304,0.0030125819599503834
B2_07,5,2536,0.025900445163901255,0.07692307692307693,0.05102263175917567
B2_08,1,2944,0.02723463687150838,0.0,-0.02723463687150838
