condition_id,scope,n_repeated_stimuli,response_inconsistency
B0,congruent,0,
B0,incongruent,0,
B0,overall,0,
B1_01,congruent,0,
B1_01,incongruent,0,
B1_01,overall,0,
B1_05,congruent,0,
B1_05,incongruent,0,
B1_05,overall,0,
B1_09,congruent,0,
B1_09,incongruent,0,
B1_09,overall,0,
B1_13,congruent,0,
B1_13,incongruent,0,
B1_13,overall,0,
B1_17,congruent,0,
B1_17,incongruent,0,
B1_17,overall,0,
B1_21,congruent,0,
B1_21,incongruent,0,
B1_21,overall,0,
B1_25,congruent,0,
B1_25,incongruent,0,
B1_25,overall,0,
B1_29,congruent,0,
B1_29,incongruent,0,
B1_29,overall,0,
B1_33,congruent,0,
B1_33,incongruent,0,
B1_33,overall,0,
B2_02,congruent,0,
B2_02,incongruent,0,
B2_02,overall,0,
B2_03,congruent,0,
B2_03,incongruent,0,
B2_03,overall,0,
B2_04,congruent,0,
B2_04,incongruent,0,
B2_04,overall,0,
B2_06,congruent,0,
B2_06,incongruent,0,
B2_06,overall,0,
B2_07,congruent,0,
B2_07,incongruent,0,
B2_07,overall,0,
B2_08,congruent,0,
B2_08,incongruent,0,
B2_08,overall,0,
B2_10,congruent,0,
B2_10,incongruent,0,
B2_10,overall,0,
B2_11,congruent,0,
B2_11,incongruent,0,
B2_11,overall,0,
B2_12,congruent,0,
B2_12,incongruent,0,
B2_12,overall,0,
B2_14,congruent,0,
B2_14,incongruent,0,
B2_14,overall,0,
B2_15,congruent,0,
B2_15,incongruent,0,
B2_15,overall,0,
B2_16,congruent,0,
B2_16,incongruent,0,
B2_16,overall,0,
B2_18,congruent,0,
B2_18,incongruent,0,
B2_18,overall,0,
B2_19,congruent,0,
B2_19,incongruent,0,
B2_19,overall,0,
B2_20,congruent,0,
B2_20,incongruent,0,
B2_20,overall,0,
B2_22,congruent,0,
B2_22,incongruent,0,
B2_22,overall,0,
B2_23,congruent,0,
B2_23,incongruent,0,
B2_23,overall,0,
B2_24,congruent,0,
B2_24,incongruent,0,
B2_24,overall,0,
B2_26,congruent,0,
B2_26,incongruent,0,
B2_26,overall,0,
B2_27,congruent,0,
B2_27,incongruent,0,
B2_27,overall,0,
B2_28,congruent,0,
B2_28,incongruent,0,
B2_28,overall,0,
B2_30,congruent,0,
B2_30,incongruent,0,
B2_30,overall,0,
B2_31,congruent,0,
B2_31,incongruent,0,
B2_31,overall,0,
B2_32,congruent,0,
B2_32,incongruent,0,
B2_32,overall,0,
B2_34,congruent,0,
B2_34,incongruent,0,
B2_34,overall,0,
B2_35,congruent,0,
B2_35,incongruent,0,
B2_35,overall,0,
B2_36,congruent,0,
B2_36,incongruent,0,
B2_36,overall,0,
