condition_id,variant,sign_family,fraction,beta,congruent_error_rate,incongruent_error_rate,congruent_wrong_leader_incidence,mean_commitment_time_s,error_minus_correct_rt_s,fastest_bin_incongruent_accuracy,pC_pre,response_repetition,dynamically_valid,h3_fast_accuracy_change,h3_pC_pre_change,h3_preserved,stage1_survivor
B0,B0,hard_reset,0.0,0.0,0.0,0.05198180636777128,0.0,0.18673828125,-0.05966711229946528,0.742671009771987,0.9467376830892144,0.26429521276595747,True,0.0,0.0,True,False
B1_01,B1,choice_repetition,0.1,0.0,0.0,0.051332033788174136,0.0,0.18677408854166666,-0.06165064475336968,0.749185667752443,0.94640434192673,0.2646276595744681,True,0.006514657980456029,-0.0003333411624844018,True,False
B1_05,B1,choice_repetition,0.25,0.0,0.0,0.05458089668615984,0.13437703848662752,0.1865787760416667,-0.060739625167336025,0.7361563517915309,0.9416261292564281,0.26728723404255317,True,-0.006514657980456029,-0.005111553832786275,True,False
B1_09,B1,choice_repetition,0.5,0.0,0.0,0.05588044184535412,0.6190476190476191,0.18569986979166667,-0.06890800479758251,0.7231270358306189,0.9371345029239766,0.2709441489361702,True,-0.019543973941368087,-0.009603180165237757,True,False
B1_13,B1,win_stay_lose_shift,0.1,0.0,0.0,0.051332033788174136,0.0,0.1867740885416667,-0.061520721345587004,0.749185667752443,0.9463315217391305,0.2646276595744681,True,0.006514657980456029,-0.0004061613500838668,True,False
B1_17,B1,win_stay_lose_shift,0.25,0.0,0.0,0.05458089668615984,0.13176777560339203,0.18659505208333335,-0.06063396442914515,0.7361563517915309,0.941544885177453,0.26728723404255317,True,-0.006514657980456029,-0.005192797911761304,True,False
B1_21,B1,win_stay_lose_shift,0.5,0.0,0.0,0.05523066926575698,0.6131767775603392,0.185791015625,-0.06984111542172945,0.7263843648208469,0.9377745241581259,0.27061170212765956,True,-0.016286644951140072,-0.008963158931088455,True,False
B1_25,B1,error_only_carryover,0.1,0.0,0.0,0.05198180636777128,0.0,0.18673828125000003,-0.05979545454545454,0.742671009771987,0.9467376830892144,0.26429521276595747,True,0.0,0.0,True,False
B1_29,B1,error_only_carryover,0.25,0.0,0.0,0.05198180636777128,0.0032615786040443573,0.18672851562500004,-0.05991377005347595,0.745928338762215,0.9467731204258151,0.26429521276595747,True,0.0032573289902280145,3.5437336600718794e-05,True,False
B1_33,B1,error_only_carryover,0.5,0.0,0.0,0.05263157894736842,0.0136986301369863,0.18664713541666667,-0.05982961229367115,0.742671009771987,0.9460719041278296,0.2646276595744681,True,0.0,-0.0006657789613847553,True,False
B2_02,B2,choice_repetition,0.1,0.25,0.0,0.050682261208576995,0.0,0.186796875,-0.061959817070037476,0.752442996742671,0.9471544715447154,0.26496010638297873,True,0.009771986970684043,0.00041678845550108257,True,False
B2_03,B2,choice_repetition,0.1,0.5,0.0,0.050032488628979854,0.0,0.18678385416666668,-0.06184038332285413,0.755700325732899,0.9475476839237057,0.26496010638297873,True,0.013029315960912058,0.0008100008344913423,True,False
B2_04,B2,choice_repetition,0.1,0.75,0.0,0.04938271604938271,0.011089367253750815,0.1868912760416667,-0.06400094863326543,0.758957654723127,0.9476944253269098,0.26496010638297873,True,0.016286644951140072,0.0009567422376954848,True,False
B2_06,B2,choice_repetition,0.25,0.25,0.0,0.0539311241065627,0.1415525114155251,0.18653645833333335,-0.061573560887914325,0.7361563517915309,0.9421199442119944,0.2666223404255319,True,-0.006514657980456029,-0.004617738877219946,True,False
B2_07,B2,choice_repetition,0.25,0.5,0.0,0.051332033788174136,0.1735159817351598,0.18645507812499998,-0.06470122268415333,0.745928338762215,0.9442484121383204,0.2666223404255319,True,0.0032573289902280145,-0.002489270950893907,True,False
B2_08,B2,choice_repetition,0.25,0.75,0.0,0.05328135152696556,0.2602739726027397,0.186025390625,-0.06583138918345707,0.739413680781759,0.9414703783012134,0.26628989361702127,True,-0.0032573289902280145,-0.0052673047880009705,True,False
B2_10,B2,choice_repetition,0.5,0.25,0.0,0.05847953216374269,0.5877364644487932,0.18534505208333338,-0.06731723675385651,0.7166123778501629,0.9342105263157895,0.2702792553191489,True,-0.026058631921824116,-0.012527156773424863,True,False
B2_11,B2,choice_repetition,0.5,0.5,0.0,0.05977907732293697,0.5205479452054794,0.18479817708333335,-0.0708325065655092,0.7133550488599348,0.9322533136966127,0.2716090425531915,True,-0.02931596091205213,-0.01448436939260167,True,False
B2_12,B2,choice_repetition,0.5,0.75,0.0,0.06757634827810266,0.48793215916503585,0.18204752604166666,-0.09009770889487877,0.6710097719869706,0.9212717638152914,0.2752659574468085,False,-0.07166123778501632,-0.025465919273922943,False,False
B2_14,B2,win_stay_lose_shift,0.1,0.25,0.0,0.050682261208576995,0.0,0.1867903645833334,-0.06182159190175224,0.752442996742671,0.9471186440677966,0.26496010638297873,True,0.009771986970684043,0.000380960978582201,True,False
B2_15,B2,win_stay_lose_shift,0.1,0.5,0.0,0.050032488628979854,0.0,0.1868229166666667,-0.06148082301671612,0.755700325732899,0.9474761255115962,0.26496010638297873,True,0.013029315960912058,0.0007384424223818575,True,False
B2_16,B2,win_stay_lose_shift,0.1,0.75,0.0,0.050032488628979854,0.010437051532941943,0.18687825520833334,-0.06180400234156494,0.755700325732899,0.9468232044198895,0.26496010638297873,True,0.013029315960912058,8.552133067518675e-05,True,False
B2_18,B2,win_stay_lose_shift,0.25,0.25,0.0,0.05458089668615984,0.13763861709067188,0.1865234375,-0.06080512526295659,0.7361563517915309,0.9413817166782973,0.26728723404255317,True,-0.006514657980456029,-0.005355966410917068,True,False
B2_19,B2,win_stay_lose_shift,0.25,0.5,0.0,0.05198180636777128,0.1735159817351598,0.1864615885416667,-0.0634899732620321,0.745928338762215,0.9435426958362738,0.26728723404255317,True,0.0032573289902280145,-0.00319498725294054,True,False
B2_20,B2,win_stay_lose_shift,0.25,0.75,0.0,0.051332033788174136,0.2517938682322244,0.1862141927083333,-0.06718237067926427,0.745928338762215,0.9435310936383131,0.26695478723404253,True,0.0032573289902280145,-0.0032065894509012427,True,False
B2_22,B2,win_stay_lose_shift,0.5,0.25,0.0,0.057829759584145546,0.5759947814742336,0.18538411458333334,-0.06791345715609427,0.7198697068403909,0.9348462664714495,0.2699468085106383,True,-0.0228013029315961,-0.011891416617764827,True,False
B2_23,B2,win_stay_lose_shift,0.5,0.5,0.0,0.056530214424951264,0.5101108936725375,0.18513997395833334,-0.07236169352509673,0.7263843648208469,0.9360294117647059,0.2709441489361702,True,-0.016286644951140072,-0.010708271324508467,True,False
