condition_id,user_id,trial,model_response,model_error,reset,b_L,b_R,b_U,b_D
B0,182,1,0,False,True,0.0,0.0,0.0,0.0
B0,182,2,1,False,False,0.0,0.0,0.0,0.0
B0,182,3,1,False,False,0.0,0.0,0.0,0.0
B0,182,4,1,False,False,0.0,0.0,0.0,0.0
B0,182,5,2,False,False,0.0,0.0,0.0,0.0
B0,182,6,0,False,False,0.0,0.0,0.0,0.0
B0,182,7,3,False,False,0.0,0.0,0.0,0.0
B0,182,8,2,False,False,0.0,0.0,0.0,0.0
B0,182,9,2,False,False,0.0,0.0,0.0,0.0
B0,182,10,1,False,False,0.0,0.0,0.0,0.0
B0,182,11,2,False,False,0.0,0.0,0.0,0.0
B0,182,12,3,False,False,0.0,0.0,0.0,0.0
B0,182,13,1,False,False,0.0,0.0,0.0,0.0
B0,182,14,1,False,False,0.0,0.0,0.0,0.0
B0,182,15,1,False,False,0.0,0.0,0.0,0.0
B0,182,16,2,False,False,0.0,0.0,0.0,0.0
B0,182,17,3,False,False,0.0,0.0,0.0,0.0
B0,182,18,0,False,False,0.0,0.0,0.0,0.0
B0,182,19,2,False,False,0.0,0.0,0.0,0.0
B0,182,20,3,False,False,0.0,0.0,0.0,0.0
B0,182,21,1,False,False,0.0,0.0,0.0,0.0
B0,182,22,2,False,False,0.0,0.0,0.0,0.0
B0,182,23,3,False,False,0.0,0.0,0.0,0.0
B0,182,24,0,False,False,0.0,0.0,0.0,0.0
B0,182,25,1,False,False,0.0,0.0,0.0,0.0
B0,182,26,1,False,False,0.0,0.0,0.0,0.0
B0,182,27,2,False,False,0.0,0.0,0.0,0.0
B0,182,28,3,False,False,0.0,0.0,0.0,0.0
B0,182,29,3,False,False,0.0,0.0,0.0,0.0
B0,182,30,1,False,False,0.0,0.0,0.0,0.0
B0,182,31,3,False,False,0.0,0.0,0.0,0.0
B0,182,32,3,False,False,0.0,0.0,0.0,0.0
B0,182,33,0,False,False,0.0,0.0,0.0,0.0
B0,182,34,3,False,False,0.0,0.0,0.0,0.0
B0,182,35,2,False,False,0.0,0.0,0.0,0.0
B0,182,36,0,False,False,0.0,0.0,0.0,0.0
B0,182,37,3,False,False,0.0,0.0,0.0,0.0
B0,182,38,3,False,False,0.0,0.0,0.0,0.0
B0,182,39,2,False,False,0.0,0.0,0.0,0.0
B0,182,40,2,False,False,0.0,0.0,0.0,0.0
B0,182,41,2,False,False,0.0,0.0,0.0,0.0
B0,182,42,2,False,False,0.0,0.0,0.0,0.0
B0,182,43,2,False,False,0.0,0.0,0.0,0.0
B0,182,44,2,False,False,0.0,0.0,0.0,0.0
B0,182,45,0,False,False,0.0,0.0,0.0,0.0
B0,182,46,1,False,False,0.0,0.0,0.0,0.0
B0,182,47,2,False,False,0.0,0.0,0.0,0.0
B0,182,48,0,False,False,0.0,0.0,0.0,0.0
B0,182,49,2,False,False,0.0,0.0,0.0,0.0
B0,182,50,3,False,False,0.0,0.0,0.0,0.0
B0,182,51,3,False,False,0.0,0.0,0.0,0.0
B0,182,52,1,False,False,0.0,0.0,0.0,0.0
B0,182,53,3,False,False,0.0,0.0,0.0,0.0
B0,182,54,3,False,False,0.0,0.0,0.0,0.0
B0,182,55,2,False,False,0.0,0.0,0.0,0.0
B0,182,56,2,False,False,0.0,0.0,0.0,0.0
B0,182,57,3,False,False,0.0,0.0,0.0,0.0
B0,182,58,3,True,False,0.0,0.0,0.0,0.0
B0,182,59,0,False,False,0.0,0.0,0.0,0.0
B0,182,60,3,False,False,0.0,0.0,0.0,0.0
B0,182,61,2,False,False,0.0,0.0,0.0,0.0
