condition_id,transition,risk_after_correct,risk_after_error,delta
B0,generic,0.026297814207650275,0.0125,-0.013797814207650274
B0,C_to_C,0.0,,
B0,I_to_C,0.0,0.0,0.0
B0,C_to_I,0.057291666666666664,,
B0,I_to_I,0.04962406015037594,0.024390243902439025,-0.025233816247936913
B1_01,generic,0.025947422328439742,0.012658227848101266,-0.013289194480338476
B1_01,C_to_C,0.0,,
B1_01,I_to_C,0.0,0.0,0.0
B1_01,C_to_I,0.055989583333333336,,
B1_01,I_to_I,0.04954954954954955,0.025,-0.02454954954954955
B1_05,generic,0.027359781121751026,0.023809523809523808,-0.0035502573122272174
B1_05,C_to_C,0.0,,
B1_05,I_to_C,0.0,0.0,0.0
B1_05,C_to_I,0.05859375,,
B1_05,I_to_I,0.05128205128205128,0.046511627906976744,-0.004770423375074537
B1_09,generic,0.028053369825521726,0.023529411764705882,-0.0045239580608158435
B1_09,C_to_C,0.0,,
B1_09,I_to_C,0.0,0.0,0.0
B1_09,C_to_I,0.059895833333333336,,
B1_09,I_to_I,0.05271084337349398,0.047619047619047616,-0.005091795754446363
B1_13,generic,0.025947422328439742,0.012658227848101266,-0.013289194480338476
B1_13,C_to_C,0.0,,
B1_13,I_to_C,0.0,0.0,0.0
B1_13,C_to_I,0.055989583333333336,,
B1_13,I_to_I,0.04954954954954955,0.025,-0.02454954954954955
B1_17,generic,0.027359781121751026,0.023809523809523808,-0.0035502573122272174
B1_17,C_to_C,0.0,,
B1_17,I_to_C,0.0,0.0,0.0
B1_17,C_to_I,0.05859375,,
B1_17,I_to_I,0.05128205128205128,0.046511627906976744,-0.004770423375074537
B1_21,generic,0.0280437756497948,0.011904761904761904,-0.016139013745032897
B1_21,C_to_C,0.0,,
B1_21,I_to_C,0.0,0.0,0.0
B1_21,C_to_I,0.059895833333333336,,
B1_21,I_to_I,0.05271084337349398,0.023809523809523808,-0.02890131956397017
B1_25,generic,0.026297814207650275,0.0125,-0.013797814207650274
B1_25,C_to_C,0.0,,
B1_25,I_to_C,0.0,0.0,0.0
B1_25,C_to_I,0.057291666666666664,,
B1_25,I_to_I,0.04962406015037594,0.024390243902439025,-0.025233816247936913
B1_29,generic,0.026297814207650275,0.0125,-0.013797814207650274
B1_29,C_to_C,0.0,,
B1_29,I_to_C,0.0,0.0,0.0
B1_29,C_to_I,0.057291666666666664,,
B1_29,I_to_I,0.04962406015037594,0.024390243902439025,-0.025233816247936913
B1_33,generic,0.026306798770071745,0.024691358024691357,-0.0016154407453803886
B1_33,C_to_C,0.0,,
B1_33,I_to_C,0.0,0.0,0.0
B1_33,C_to_I,0.057291666666666664,,
B1_33,I_to_I,0.04962406015037594,0.04878048780487805,-0.000843572345497888
B2_02,generic,0.025597269624573378,0.01282051282051282,-0.012776756804060558
B2_02,C_to_C,0.0,,
B2_02,I_to_C,0.0,0.0,0.0
B2_02,C_to_I,0.055989583333333336,,
B2_02,I_to_I,0.04804804804804805,0.025,-0.023048048048048046
B2_03,generic,0.02524735585124531,0.012987012987012988,-0.012260342864232322
B2_03,C_to_C,0.0,,
B2_03,I_to_C,0.0,0.0,0.0
B2_03,C_to_I,0.0546875,,
B2_03,I_to_I,0.04804804804804805,0.025,-0.023048048048048046
B2_04,generic,0.024897680763983628,0.013157894736842105,-0.011739786027141524
B2_04,C_to_C,0.0,,
B2_04,I_to_C,0.0,0.0,0.0
B2_04,C_to_I,0.053385416666666664,,
B2_04,I_to_I,0.047976011994003,0.02564102564102564,-0.022334986352977357
B2_06,generic,0.027008547008547008,0.024096385542168676,-0.0029121614663783317
B2_06,C_to_C,0.0,,
B2_06,I_to_C,0.0,0.0,0.0
B2_06,C_to_I,0.059895833333333336,,
B2_06,I_to_I,0.04819277108433735,0.047619047619047616,-0.0005737234652897355
B2_07,generic,0.02627986348122867,0.0,-0.02627986348122867
B2_07,C_to_C,0.0,,
B2_07,I_to_C,0.0,0.0,0.0
B2_07,C_to_I,0.057291666666666664,,
B2_07,I_to_I,0.04790419161676647,0.0,-0.04790419161676647
B2_08,generic,0.027331738981892725,0.0,-0.027331738981892725
B2_08,C_to_C,0.0,,
B2_08,I_to_C,0.0,0.0,0.0
B2_08,C_to_I,0.05859375,,
B2_08,I_to_I,0.05112781954887218,0.0,-0.05112781954887218
B2_10,generic,0.02946214457005824,0.02247191011235955,-0.006990234457698689
B2_10,C_to_C,0.0,,
B2_10,I_to_C,0.0,0.0,0.0
B2_10,C_to_I,0.06510416666666667,,
B2_10,I_to_I,0.05271084337349398,0.047619047619047616,-0.005091795754446363
B2_11,generic,0.030167980802194034,0.02197802197802198,-0.008189958824172054
B2_11,C_to_C,0.0,,
B2_11,I_to_C,0.0,0.0,0.0
B2_11,C_to_I,0.06510416666666667,,
B2_11,I_to_I,0.055639097744360905,0.04878048780487805,-0.006858609939482854
B2_12,generic,0.03372333103922918,0.0392156862745098,0.005492355235280626
B2_12,C_to_C,0.0,,
B2_12,I_to_C,0.0,0.0,0.0
B2_12,C_to_I,0.06510416666666667,,
B2_12,I_to_I,0.0715372907153729,0.08163265306122448,0.01009536234585158
B2_14,generic,0.025597269624573378,0.01282051282051282,-0.012776756804060558
B2_14,C_to_C,0.0,,
B2_14,I_to_C,0.0,0.0,0.0
B2_14,C_to_I,0.055989583333333336,,
B2_14,I_to_I,0.04804804804804805,0.025,-0.023048048048048046
B2_15,generic,0.02524735585124531,0.012987012987012988,-0.012260342864232322
B2_15,C_to_C,0.0,,
B2_15,I_to_C,0.0,0.0,0.0
B2_15,C_to_I,0.0546875,,
B2_15,I_to_I,0.04804804804804805,0.025,-0.023048048048048046
B2_16,generic,0.02524735585124531,0.012987012987012988,-0.012260342864232322
B2_16,C_to_C,0.0,,
B2_16,I_to_C,0.0,0.0,0.0
B2_16,C_to_I,0.0546875,,
B2_16,I_to_I,0.04804804804804805,0.025,-0.023048048048048046
B2_18,generic,0.027359781121751026,0.023809523809523808,-0.0035502573122272174
B2_18,C_to_C,0.0,,
B2_18,I_to_C,0.0,0.0,0.0
B2_18,C_to_I,0.059895833333333336,,
B2_18,I_to_I,0.049773755656108594,0.046511627906976744,-0.0032621277491318504
B2_19,generic,0.026630249231819735,0.0,-0.026630249231819735
B2_19,C_to_C,0.0,,
B2_19,I_to_C,0.0,0.0,0.0
B2_19,C_to_I,0.057291666666666664,,
B2_19,I_to_I,0.049475262368815595,0.0,-0.049475262368815595
B2_20,generic,0.02627986348122867,0.0,-0.02627986348122867
B2_20,C_to_C,0.0,,
B2_20,I_to_C,0.0,0.0,0.0
B2_20,C_to_I,0.055989583333333336,,
B2_20,I_to_I,0.04969879518072289,0.0,-0.04969879518072289
B2_22,generic,0.02945205479452055,0.011363636363636364,-0.018088418430884184
B2_22,C_to_C,0.0,,
B2_22,I_to_C,0.0,0.0,0.0
B2_22,C_to_I,0.06510416666666667,,
B2_22,I_to_I,0.05271084337349398,0.023809523809523808,-0.02890131956397017
B2_23,generic,0.028747433264887063,0.011627906976744186,-0.017119526288142877
B2_23,C_to_C,0.0,,
B2_23,I_to_C,0.0,0.0,0.0
B2_23,C_to_I,0.061197916666666664,,
B2_23,I_to_I,0.05405405405405406,0.025,-0.029054054054054056
B2_24,generic,0.030489893799246316,0.0,-0.030489893799246316
B2_24,C_to_C,0.0,,
B2_24,I_to_C,0.0,0.0,0.0
B2_24,C_to_I,0.059895833333333336,,
B2_24,I_to_I,0.06334841628959276,0.0,-0.06334841628959276
B2_26,generic,0.026297814207650275,0.0125,-0.013797814207650274
B2_26,C_to_C,0.0,,
B2_26,I_to_C,0.0,0.0,0.0
B2_26,C_to_I,0.057291666666666664,,
B2_26,I_to_I,0.04962406015037594,0.024390243902439025,-0.025233816247936913
B2_27,generic,0.026648445507345405,0.012345679012345678,-0.014302766494999727
B2_27,C_to_C,0.0,,
B2_27,I_to_C,0.0,0.0,0.0
B2_27,C_to_I,0.05859375,,
B2_27,I_to_I,0.04962406015037594,0.024390243902439025,-0.025233816247936913
B2_28,generic,0.026648445507345405,0.012345679012345678,-0.014302766494999727
B2_28,C_to_C,0.0,,
B2_28,I_to_C,0.0,0.0,0.0
B2_28,C_to_I,0.05859375,,
B2_28,I_to_I,0.04962406015037594,0.024390243902439025,-0.025233816247936913
B2_30,generic,0.026648445507345405,0.012345679012345678,-0.014302766494999727
B2_30,C_to_C,0.0,,
B2_30,I_to_C,0.0,0.0,0.0
B2_30,C_to_I,0.05859375,,
B2_30,I_to_I,0.04962406015037594,0.024390243902439025,-0.025233816247936913
