term,coefficient,se,p_value
const,-3.3072953809350407,0.01945438322452525,0.0
user_id_1054,-1.197316318758914,0.03925864687807611,2.7568356502625855e-204
user_id_1127,-0.7410270511729368,0.03357195381913479,5.770400898117215e-108
user_id_1182,-1.6600238336918283,0.043083891269281346,0.0
user_id_1354,-0.34436573042932195,0.028701579415259044,3.633459051198875e-33
user_id_1369,-1.1068084656752162,0.037084884846483125,1.0110943114941506e-195
user_id_1478,-0.352072519543007,0.03149701365359743,5.227487221787217e-29
user_id_1488,-1.0332930015489634,0.038124948876595934,9.125004325737758e-162
user_id_163,-0.47968546656743766,0.026439354449193226,1.4622420409204286e-73
user_id_166,-1.0804311033020968,0.026982072569276826,0.0
user_id_1744,-0.9451003731520016,0.036091830335660956,3.837406648182141e-151
user_id_182,-1.3457477494996923,0.03682239748943002,1.9907544501831523e-292
user_id_1941,-0.7657331555004235,0.025793901729577934,1.143730710892251e-193
user_id_2046,-1.3845243805478817,0.038775691702106145,3.191722450517976e-279
user_id_2090,-0.5674747266512894,0.03253616080686886,4.004666680127763e-68
user_id_2143,-1.2882506173140533,0.04192111247353409,2.238249394815655e-207
user_id_221,-1.262547980326482,0.029012146052801436,0.0
user_id_2317,-0.7266125365757452,0.03157149490646235,3.311775072007299e-117
user_id_2410,-0.9681037060914377,0.035465556774031425,4.602660688111944e-164
user_id_2553,-0.8809382888819469,0.034487903830388154,6.500893042681723e-144
user_id_2683,-0.6964993887270513,0.031463403464712214,1.3978635083391514e-108
user_id_2718,-0.9143889797907834,0.03699856817099237,7.531079922887093e-135
user_id_2918,-0.34587651903420813,0.02083845138651334,7.205757260050726e-62
user_id_3288,-0.4061487985641969,0.030817370665931005,1.1558503408134143e-39
user_id_335,-1.4084185921584824,0.0292343553530885,0.0
user_id_3403,-1.6241677069552076,0.0490197529046394,9.978978790388898e-241
user_id_3471,-0.2536855565278538,0.03061188339097208,1.1598517202709953e-16
user_id_3497,-0.5731526012876429,0.03159915364438838,1.5908276263280013e-73
user_id_3605,-1.8344768346170306,0.052190336922156064,1.1730491072938164e-270
user_id_3875,-0.4794350879963752,0.02347466293592463,1.0335730185456233e-92
user_id_3988,-0.7863766900006417,0.03076615127118859,4.272565289295247e-144
user_id_4193,-0.7769116725172026,0.027708861323459417,5.535159577182953e-173
user_id_4275,-1.1580061157662855,0.037270185784971085,6.017233592079862e-212
user_id_4344,-0.8034693654168406,0.033976529364060856,1.244164284792695e-123
user_id_4398,-1.1964386937077682,0.03838416529528422,2.7086128591827363e-213
user_id_4431,-0.31505674799972155,0.026315512070683687,4.9643775277371414e-33
user_id_4484,-2.097715175537504,0.04317235009568502,0.0
user_id_4790,-0.48222025712342315,0.03150452978015638,6.931761295788822e-53
user_id_4969,-0.7465610230553374,0.030174492178336003,3.831058903532109e-135
user_id_5058,-0.017127475949346306,0.023090838258333257,0.4582428435835436
user_id_5119,-1.5956789525137107,0.04413670170327939,3.324775763524641e-286
user_id_522,-2.441316226903046,0.05936062509101819,0.0
user_id_5256,-0.4099323651824387,0.03133142968681949,4.0785286377073583e-39
user_id_5295,-1.3319478347459697,0.03620395501019442,2.656420067961109e-296
user_id_5336,-2.5423731724112137,0.07033373417114996,4.1052193405289933e-286
user_id_5356,-0.3241895471982051,0.028391552282611733,3.379343071937608e-30
user_id_5383,-0.30760260734180445,0.029384864895671277,1.2109590032401402e-25
user_id_5402,-0.7902948246338036,0.03079479279602602,3.0070966885153024e-145
user_id_5573,-0.5320760678626695,0.021748010342300183,3.441928498589376e-132
user_id_5675,-1.0906305427868304,0.023095047839030176,0.0
user_id_569,0.026883728161446123,0.02758023269088459,0.3296861491375743
user_id_5886,-0.08220383217025086,0.028594193776079545,0.00404227801735361
user_id_6003,-1.3515631850312293,0.04343909787317553,1.5584814419688262e-212
user_id_6181,-1.2956724418846177,0.0412748820408088,2.659151859632224e-216
user_id_6194,-2.256330455045742,0.05079888088484269,0.0
user_id_6474,0.28557212438374185,0.024467305493232488,1.7808377944337512e-31
user_id_6519,-0.6074460322507849,0.030343663397171844,3.771338613444481e-89
user_id_6591,-0.9106750505427086,0.03172899651542867,3.636924819296317e-181
user_id_6609,-3.000557690823647,0.0792104519636571,0.0
user_id_677,-0.7127164522695539,0.03218159345238861,1.1221823603797282e-108
user_id_6786,-0.45848335254881134,0.03051531914889829,5.059393674200071e-51
user_id_6858,-1.0235097821726038,0.034052239728600324,1.7661607280669607e-198
user_id_6946,-0.42423432028034086,0.03006526221827879,3.274906991470992e-45
user_id_7097,-0.2581029211081089,0.029614504532329174,2.8967613978300117e-18
user_id_7109,-2.339831693666935,0.06172828989781575,0.0
user_id_7332,-0.5325178665848258,0.029694710600629715,6.506323528306308e-72
user_id_7522,-0.9351989495624055,0.03262218421782218,9.681047131323739e-181
user_id_7643,-0.03735604967397053,0.027106303676544017,0.16816270607755002
user_id_7652,-0.4299570588837878,0.026853303793966218,1.065116890474648e-57
user_id_7735,-0.970875854963519,0.03114972365249155,2.889352871472379e-213
user_id_7862,-0.6175433985014561,0.03071588304955568,6.6695558322709215e-90
user_id_8503,-0.0236964951326153,0.02855504198839003,0.4066217449914704
user_id_878,-0.2916738040797503,0.031245649607463902,1.011236021160045e-20
user_id_899,-1.932861060633848,0.05219185733280342,3.278040842040534e-300
user_id_984,-1.2580815491304331,0.03808204664565602,2.4650995540740835e-239
current_incongruent,1.5130731800539952,0.006638743247013209,0.0
previous_error,0.5648554598213951,0.009871166015912217,0.0
alignment,0.30892832987330704,0.013443255827775941,7.359541705092741e-117
target_repeat,-0.21920616846189364,0.013579273684269188,1.2782100440028857e-58
