lag,lagged_condition,user_id,n_after_previous_correct,errors_after_previous_correct,n_after_previous_error,errors_after_previous_error,shrunk_risk_after_previous_correct,shrunk_risk_after_previous_error,risk_difference,posterior_risk_difference_sd,raw_stable,log_odds_ratio,odds_ratio
1,all,163,48250,2873,2916,241,0.05952834995311965,0.08189749162569371,0.02236914167257406,0.0051364009056580175,True,0.34308814974661805,1.4092929852708045
1,all,166,78047,2643,2599,123,0.03387551825304394,0.047334474114536396,0.013458955861492455,0.004164931505714341,True,0.34857510823088367,1.417046970817635
1,all,182,38005,1007,1000,24,0.026532086658718233,0.02542285384680818,-0.0011092328119100513,0.004893319100338503,True,-0.04384510712435574,0.957102194303497
1,all,221,71581,1964,2000,148,0.027455510954927525,0.07318498743707004,0.04572947648214251,0.005763760463530252,True,1.0285852299178493,2.7971057725072983
1,all,335,80459,1942,1811,105,0.024155207990861478,0.05762802376584817,0.03347281577498669,0.005407615146926417,True,0.9044124377806209,2.470479935858789
1,all,522,35522,310,277,9,0.008796958347519647,0.03533937161196669,0.02654241326444704,0.009997431555732366,True,1.4177347060215268,4.127759253153377
1,all,569,26179,2403,2416,400,0.09168369941079295,0.16252463892559443,0.07084093951480148,0.00761814438481432,True,0.6536858338965197,1.9226142219995703
1,all,677,30413,1428,1502,134,0.046955135794583394,0.08751914673923088,0.04056401094464748,0.007241151608389008,True,0.6661598778884139,1.9467472013804061
1,all,878,22959,1595,1471,177,0.06941117604622885,0.11730124698998355,0.047890070943754706,0.008379678073044381,True,0.5775310442079182,1.781634219959707
1,all,899,28578,420,411,10,0.01477023417350497,0.02747386076462927,0.0127036265911243,0.007526628025663309,True,0.633599009150791,1.8843802917420516
1,all,984,32062,898,837,48,0.028047380024423085,0.05666200413982406,0.02861462411540097,0.00775323647822299,True,0.7330910550954552,2.081504719687044
1,all,1018,31588,3068,3195,259,0.09702564639078821,0.08040945186090709,-0.016616194529881126,0.005044858019261092,True,-0.20607797251462046,0.8137696221453531
1,all,1054,27956,772,812,104,0.02766060310856907,0.12221211743822066,0.09455151432965159,0.011103743967035158,True,1.5880490166073082,4.894191122197726
1,all,1127,27665,1198,1226,178,0.04331390877684506,0.14035604301647225,0.0970421342396272,0.009744729416830534,True,1.2826655806259115,3.6062396477392067
1,all,1182,34522,644,589,38,0.018708418682958562,0.0628682575567538,0.044159838873795244,0.009519843197566812,True,1.258113538938475,3.518777186082272
