n_participants,n_raw_stable_participants,n_trials_after_previous_correct,n_errors_after_previous_correct,n_trials_after_previous_error,n_errors_after_previous_error,mean_shrunk_risk_after_previous_correct,risk_after_previous_correct_ci_low,risk_after_previous_correct_ci_high,mean_shrunk_risk_after_previous_error,risk_after_previous_error_ci_low,risk_after_previous_error_ci_high,population_mean_risk_difference,risk_difference_ci_low,risk_difference_ci_high,n_positive,proportion_positive,population_mean_log_odds_ratio,log_odds_ratio_ci_low,log_odds_ratio_ci_high,population_geometric_mean_odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,prior_correct_alpha,prior_correct_beta,prior_error_alpha,prior_error_beta,pooled_risk_after_previous_correct,pooled_risk_after_previous_error,pooled_risk_difference,lag,lagged_condition,n_valid_pairs,decay_amplitude,decay_tau_trials,decay_r_squared,strictly_monotonic_decrease
75,75,3001862,138042,141457,13541,0.045568105476823606,0.04026244319235033,0.050852819530835154,0.09296714673649757,0.08337683595067565,0.10288680527657017,0.04739904125967397,0.03875295991553768,0.05629975433236496,67,0.8933333333333333,0.8091888113569746,0.671081700664651,0.9586749791195454,2.246085248639262,1.95635236416032,2.6082382127022217,3.0478418885894514,60.87055419601402,3.0478418885894514,60.87055419601402,0.04598545835884528,0.09572520271177813,0.04973974435293285,1,all,3143319,0.04533464427421316,3.699419632360405,0.9127986035357051,True
75,75,1550663,73050,27035,3081,0.04644535434648207,0.040855514675089584,0.051926562173284,0.09950145900399204,0.08759493023414143,0.11174598308287863,0.05305610465751,0.042216568990087064,0.06432235948727652,69,0.92,0.8347271636994444,0.6773449136214474,0.9924616445070882,2.30418529712558,1.968643867606679,2.6978674956285604,3.0527995939578485,61.15343038196275,3.0527995939578485,61.15343038196275,0.04710888181377901,0.11396338080266322,0.06685449898888421,1,congruent,1577698,0.05110891070566093,3.8951927493200578,0.9518385133931534,True
75,75,1451199,64992,114422,10460,0.04463769020498142,0.03928200405795418,0.050029382802476874,0.08895970215049967,0.07946778033744029,0.09853935981851322,0.044322011945518255,0.03649435071882074,0.05227798567461669,68,0.9066666666666666,0.7901137128943762,0.6508438740822766,0.9349687370323353,2.2036469950872077,1.9171579865157269,2.5471338255318194,3.023280206031026,60.19994838959951,3.023280206031026,60.19994838959951,0.04478503637337126,0.09141598643617486,0.04663095006280361,1,incongruent,1565621,0.042217623514696274,3.8017788387281297,0.8927558670802813,True
75,75,2943609,137293,136094,11540,0.04647421283556159,0.041159251971123856,0.05197692829762703,0.0765599674835892,0.06895004360361928,0.08405519959282855,0.030085754648027613,0.02446420710890204,0.035979518240363106,70,0.9333333333333333,0.5799824406998538,0.4790949956611282,0.6821451070232625,1.7860070694405374,1.6146125094563821,1.9781164558494508,3.057390135614805,60.94420461880773,3.057390135614805,60.94420461880773,0.04664104505727493,0.08479433332843477,0.03815328827115984,2,all,3079703,0.04533464427421316,3.699419632360405,0.9127986035357051,True
75,74,1520093,72663,25830,2562,0.047420314586177646,0.04205006590640711,0.053105197356449176,0.0830438958572025,0.07369799439624282,0.0928919297421641,0.035623581271024864,0.027623873178736644,0.044210131195187206,66,0.88,0.631756966379306,0.5029990560548521,0.7654960408266422,1.8809123776505492,1.6536733002051354,2.150060628032014,3.0768588381367565,60.86784799479901,3.0768588381367565,60.86784799479901,0.0478016805550713,0.0991869918699187,0.051385311314847394,2,congruent,1545923,0.05110891070566093,3.8951927493200578,0.9518385133931534,True
75,75,1423516,64630,110264,8978,0.04545012232326061,0.04013665284760261,0.05085952675939818,0.07339703278918171,0.06652810782260432,0.08031498409603308,0.027946910465921113,0.023218761559678034,0.03283145412851011,72,0.96,0.5682789009845098,0.46990098178283085,0.6668867317402579,1.7652263062147935,1.5998357724882655,1.9481627164562687,3.0361169712493306,60.982056189876566,3.0361169712493306,60.982056189876566,0.045401667420668264,0.08142276717695712,0.03602109975628886,2,incongruent,1533780,0.042217623514696274,3.8017788387281297,0.8927558670802813,True
75,75,2885398,135404,131718,10945,0.046805272192531555,0.04158103525238845,0.05229248358044487,0.07312056438159384,0.06575526123152722,0.08067812823686943,0.026315292189062263,0.021593078506674038,0.0313445590070303,70,0.9333333333333333,0.5240670031530748,0.4264833313219444,0.6292440047943648,1.6888823911328734,1.5318609926322901,1.8761916510873986,3.0630079554764924,60.817921764632196,3.0630079554764924,60.817921764632196,0.046927321638124096,0.0830941860641674,0.0361668644260433,3,all,3017116,0.04533464427421316,3.699419632360405,0.9127986035357051,True
75,74,1489570,71214,24927,2339,0.04736872408994334,0.041893797207902636,0.052962875469482605,0.07762934825837958,0.0694041619475351,0.08634808476112618,0.030260624168436234,0.02377364250321611,0.0374553864793234,67,0.8933333333333333,0.574331957345094,0.45192585246808675,0.7003020639370058,1.7759437243802192,1.5713354336138436,2.0143610814207404,3.070586990146043,60.96908728098285,3.070586990146043,60.96908728098285,0.047808427935578726,0.09383399526617724,0.04602556733059851,3,congruent,1514497,0.05110891070566093,3.8951927493200578,0.9518385133931534,True
75,75,1395828,64190,106791,8606,0.04619755205740961,0.040654784069213676,0.05173767891379411,0.07084585981320425,0.063939870106538,0.07810218145520839,0.02464830775579464,0.020706528462139655,0.02885822956752186,70,0.9333333333333333,0.5138587419730765,0.42199522184475824,0.6132179859969484,1.6717295379405446,1.525001237973212,1.8463634207139628,3.0558436685210517,60.67374104428348,3.0558436685210517,60.67374104428348,0.045987041383322304,0.08058731541047466,0.03460027402715236,3,incongruent,1502619,0.042217623514696274,3.8017788387281297,0.8927558670802813,True
75,75,2827650,133112,127786,10742,0.04700499083114304,0.04164150722762561,0.05239816958783295,0.0720385434351265,0.06488357680292807,0.07955223332867793,0.025033552603983475,0.020928604285507243,0.029471729959893778,74,0.9866666666666667,0.5096956746652694,0.4311237083977468,0.5926164002618314,1.6647844817523023,1.5389859236639805,1.808714551195631,3.0738847914815213,60.796057466758235,3.0738847914815213,60.796057466758235,0.0470751330610224,0.0840624168531764,0.036987283792154005,4,all,2955436,0.04533464427421316,3.699419632360405,0.9127986035357051,True
