user_id,raw_trials,duplicate_trials_removed,missing_response_removed,missing_other_required_field_removed,invalid_response_removed,invalid_stimulus_removed,rt_below_250ms_or_nonfinite_removed,rt_10mad_outlier_removed,final_trials,participant_rt_median_ms_for_filter,participant_rt_mad_ms_for_filter
1018,35740,0,0,0,0,0,141,62,35537,676.0,81.0
1054,29629,0,0,0,0,0,58,213,29358,616.0,71.0
1127,29629,0,0,0,0,0,137,46,29446,600.0,56.0
1182,36188,0,0,0,0,0,66,132,35990,854.0,74.0
1354,34928,0,0,0,0,0,670,79,34179,775.0,80.0
1369,31300,0,0,0,0,0,159,97,31044,743.0,71.0
1478,25453,0,0,0,0,0,35,15,25403,655.0,65.0
1488,27803,0,0,0,0,0,423,58,27322,762.0,90.0
163,52352,0,0,0,0,0,147,60,52145,687.0,65.0
166,82220,0,0,0,0,0,159,43,82018,623.0,65.0
1744,29223,0,0,0,0,0,38,222,28963,760.0,70.0
182,39658,0,0,0,0,0,8,91,39559,543.0,40.0
1941,74421,0,0,0,0,0,144,290,73987,563.0,43.0
2046,36209,0,0,0,0,0,18,226,35965,652.0,62.0
2090,27735,0,0,0,0,0,107,92,27536,712.0,72.0
2143,26836,0,0,0,0,0,16,13,26807,630.0,63.0
221,75059,0,0,0,0,0,71,94,74894,687.0,55.0
2317,35112,0,0,0,0,0,26,60,35026,633.0,67.0
2410,31545,0,0,0,0,0,32,288,31225,791.0,85.0
2553,30895,0,0,0,0,0,62,66,30767,582.0,52.0
2683,34642,0,0,0,0,0,83,87,34472,606.0,65.0
2718,26422,0,0,0,0,0,138,75,26209,680.0,72.0
2918,188550,0,0,0,0,0,137,1142,187271,591.0,73.0
3288,28046,0,0,0,0,0,25,14,28007,576.0,71.0
335,84423,0,0,0,0,0,257,335,83831,624.0,56.0
3403,25719,0,0,0,0,0,57,111,25551,782.0,88.0
3471,26111,0,0,0,0,0,181,157,25773,611.0,88.0
3497,30273,0,0,0,0,0,25,20,30228,597.0,58.0
3605,27298,0,0,0,0,0,316,73,26909,768.0,92.0
3875,89565,0,0,0,0,0,149,218,89198,611.0,59.0
3988,40337,0,0,0,0,0,80,30,40227,696.0,89.0
4193,57575,0,0,0,0,0,79,552,56944,793.0,90.0
4275,32605,0,0,0,0,0,74,108,32423,791.0,81.0
4344,30140,0,0,0,0,0,19,64,30057,774.0,83.0
4398,30769,0,0,0,0,0,9,19,30741,533.0,47.0
4431,46172,0,0,0,0,0,35,65,46072,548.0,48.0
4484,54485,0,0,0,0,0,43,347,54095,566.0,37.0
4790,28678,0,0,0,0,0,225,54,28399,594.0,68.0
4969,41199,0,0,0,0,0,43,99,41057,747.0,72.5
5058,68358,0,0,0,0,0,246,544,67568,764.0,76.0
5119,32089,0,0,0,0,0,63,116,31910,797.0,73.0
522,36780,0,0,0,0,0,29,185,36566,753.0,76.0
5256,27162,0,0,0,0,0,139,75,26948,622.0,42.0
5295,41153,0,0,0,0,0,28,50,41075,754.0,84.0
5336,27853,0,0,0,0,0,30,63,27760,715.0,59.0
5356,36053,0,0,0,0,0,561,124,35368,776.0,72.0
5383,31060,0,0,0,0,0,204,84,30772,650.0,58.0
5402,40132,0,0,0,0,0,131,115,39886,655.0,52.0
5573,151931,0,0,0,0,0,384,199,151348,551.0,57.0
5675,169969,0,0,0,0,0,211,56,169702,510.0,48.0
569,30428,0,0,0,0,0,325,329,29774,878.0,91.0
5886,28351,0,0,0,0,0,194,57,28100,687.0,71.0
6003,26484,0,0,0,0,0,73,89,26322,829.0,100.0
6181,28355,0,0,0,0,0,78,51,28226,670.0,49.0
6194,43430,0,0,0,0,0,49,127,43254,906.0,94.0
6474,39598,0,0,0,0,0,147,124,39327,719.0,67.0
6519,35787,0,0,0,0,0,193,44,35550,690.0,70.0
6591,41654,0,0,0,0,0,42,500,41112,811.0,89.0
6609,34694,0,0,0,0,0,8,469,34217,1105.0,114.5
677,33134,0,0,0,0,0,151,361,32622,603.0,37.0
6786,30609,0,0,0,0,0,71,9,30529,625.0,65.0
6858,36369,0,0,0,0,0,15,84,36270,595.0,44.0
6946,31283,0,0,0,0,0,70,43,31170,639.0,63.0
7097,28845,0,0,0,0,0,36,92,28717,796.0,82.0
7109,30262,0,0,0,0,0,12,135,30115,823.0,64.0
7332,35726,0,0,0,0,0,51,12,35663,602.0,72.0
7522,38504,0,0,0,0,0,64,105,38335,795.0,89.0
7643,33310,0,0,0,0,0,131,146,33033,774.0,88.0
7652,47410,0,0,0,0,0,300,136,46974,691.0,61.0
7735,45331,0,0,0,0,0,59,88,45184,639.0,56.0
7862,35350,0,0,0,0,0,206,438,34706,726.0,125.0
8503,27007,0,0,0,0,0,60,76,26871,712.0,72.0
878,25729,0,0,0,0,0,302,169,25258,791.0,68.0
899,29626,0,0,0,0,0,6,113,29507,627.0,55.0
984,34656,0,0,0,0,0,330,277,34049,847.0,100.0
