null_model,simulation,transition,population_mean_risk_difference
participant_current_condition_only,0,C_to_C,0.0017560001507301978
participant_current_condition_only,0,I_to_C,0.0011212441831836369
participant_current_condition_only,0,C_to_I,0.004202251866180711
participant_current_condition_only,0,I_to_I,0.0021614862950540396
participant_current_condition_only,1,C_to_C,2.5767541948048394e-06
participant_current_condition_only,1,I_to_C,0.0011432651141173578
participant_current_condition_only,1,C_to_I,0.0019611171806565714
participant_current_condition_only,1,I_to_I,0.0022869658509321157
participant_current_condition_only,2,C_to_C,0.0009031503198849792
participant_current_condition_only,2,I_to_C,0.0015855567192498406
participant_current_condition_only,2,C_to_I,0.0056544975405834344
participant_current_condition_only,2,I_to_I,0.0025544935758910823
participant_current_condition_only,3,C_to_C,0.001552577984944627
participant_current_condition_only,3,I_to_C,0.0007572405663815982
participant_current_condition_only,3,C_to_I,0.006153049037990932
participant_current_condition_only,3,I_to_I,0.0010469394536591963
participant_current_condition_only,4,C_to_C,0.0006238076939652469
participant_current_condition_only,4,I_to_C,0.0005215255562730917
participant_current_condition_only,4,C_to_I,0.005437397406967821
participant_current_condition_only,4,I_to_I,0.0015584898354224538
participant_current_condition_only,5,C_to_C,0.0011042008527646992
participant_current_condition_only,5,I_to_C,0.0010467061159297737
participant_current_condition_only,5,C_to_I,0.005896059262775835
participant_current_condition_only,5,I_to_I,0.00032412309918752684
participant_current_condition_only,6,C_to_C,0.0026000310161360856
participant_current_condition_only,6,I_to_C,0.000439227683639736
participant_current_condition_only,6,C_to_I,0.0026183277729124057
participant_current_condition_only,6,I_to_I,0.003586273570167241
participant_current_condition_only,7,C_to_C,0.0008418934107267935
participant_current_condition_only,7,I_to_C,0.001517759453099047
participant_current_condition_only,7,C_to_I,0.0037251594322830783
participant_current_condition_only,7,I_to_I,0.003463013290343417
participant_current_condition_only,8,C_to_C,0.0007480477096144033
participant_current_condition_only,8,I_to_C,0.0005755788993919888
participant_current_condition_only,8,C_to_I,0.004998326092903246
participant_current_condition_only,8,I_to_I,0.0005152433899601235
participant_current_condition_only,9,C_to_C,0.0019146108542998556
participant_current_condition_only,9,I_to_C,0.002173802633288878
participant_current_condition_only,9,C_to_I,0.0057673067291038015
participant_current_condition_only,9,I_to_I,0.0031575467849159003
participant_current_condition_only,10,C_to_C,0.0010747536833269837
participant_current_condition_only,10,I_to_C,0.0011594205763492235
participant_current_condition_only,10,C_to_I,0.006399799369288881
participant_current_condition_only,10,I_to_I,0.0006499253619553704
participant_current_condition_only,11,C_to_C,0.0010591278542140148
participant_current_condition_only,11,I_to_C,0.0024141310030842116
