analysis_group,user_id,n_trials,n_unique_ms,minimum_positive_step_ms,modal_last_digit,modal_last_digit_fraction,integer_ms_fraction
older_80_89,6609,1369,610,1,5,0.1154127100073046,1.0
older_80_89,984,1368,416,1,3,0.11403508771929824,1.0
older_80_89,2410,1248,432,1,0,0.40384615384615385,1.0
older_80_89,3403,1015,439,1,7,0.12413793103448276,1.0
young_20_29,2918,1297,421,1,4,0.1133384734001542,1.0
young_20_29,899,203,140,1,8,0.1477832512315271,1.0
young_20_29,182,271,153,1,8,0.13284132841328414,1.0
young_20_29,5256,183,130,1,1,0.12568306010928962,1.0
young_20_29,3875,615,289,1,9,0.11382113821138211,1.0
young_20_29,677,226,122,1,0,0.4469026548672566,1.0
young_20_29,5675,1167,312,1,6,0.11396743787489289,1.0
young_20_29,2553,212,154,1,9,0.13679245283018868,1.0
young_20_29,7862,242,176,1,0,0.47520661157024796,1.0
young_20_29,4790,197,156,1,1,0.12690355329949238,1.0
young_20_29,1478,175,87,1,4,0.14857142857142858,1.0
young_20_29,4398,212,145,1,3,0.14150943396226415,1.0
