analysis_group,congruency,metric,observed,bootstrap_sd,sampling_tolerance_95,ci_low,ci_high,n_subjects,interpretation
young_20_29,0,error_rate,0.014124514356527987,0.003967622859887977,0.007645995661580987,0.006612737544940933,0.021897525680436746,12,sampling variation; not a scientific equivalence bound
young_20_29,0,median_rt,0.5742499999999999,0.013646631783319815,0.026252083333333218,0.5476625,0.5999645833333332,12,sampling variation; not a scientific equivalence bound
young_20_29,0,fast_error_rate,0.024061048437427294,0.0070542650074843566,0.013909954424808302,0.010591946026059328,0.03826602543723415,12,sampling variation; not a scientific equivalence bound
young_20_29,1,error_rate,0.08062826974993793,0.008190585995172422,0.015767117451303186,0.06394503465711421,0.09530957533761109,12,sampling variation; not a scientific equivalence bound
young_20_29,1,median_rt,0.6260833333333334,0.01721022520735847,0.03329583333333338,0.5930760416666667,0.6595,12,sampling variation; not a scientific equivalence bound
young_20_29,1,fast_error_rate,0.15955232987422896,0.01855341707589997,0.03631027037150811,0.12200058350030885,0.19421746997380795,12,sampling variation; not a scientific equivalence bound
older_80_89,0,error_rate,0.010001238171912813,0.0032395389293698182,0.006269949840401301,0.0031897926634768814,0.016271188012314114,4,sampling variation; not a scientific equivalence bound
older_80_89,0,median_rt,0.83975,0.06965056956233513,0.14875000000000016,0.7424999999999999,0.9952500000000002,4,sampling variation; not a scientific equivalence bound
older_80_89,0,fast_error_rate,0.02349594041623463,0.008814342893077823,0.01568344041623463,0.0078125,0.042845504369723,4,sampling variation; not a scientific equivalence bound
older_80_89,1,error_rate,0.03908396329642361,0.011058505859444385,0.02037421662403202,0.018709746672391586,0.05867670739793501,4,sampling variation; not a scientific equivalence bound
older_80_89,1,median_rt,0.92775,0.06223100978040728,0.13150000000000006,0.84,1.06325,4,sampling variation; not a scientific equivalence bound
older_80_89,1,fast_error_rate,0.08721993234350915,0.02664100368197602,0.05093994699284078,0.03627998535066837,0.13815987933634993,4,sampling variation; not a scientific equivalence bound
