candidate_id,scheme,seed_id,analysis_group,congruency,accuracy,n_human,n_model,human_median_rt,model_median_rt,wasserstein_s
current_evidence__saved_gate_execution,raw,0,young_20_29,0,all,2502,2502,0.5600000023841858,0.5882192056485196,0.03714305600565583
current_evidence__saved_gate_execution,raw,0,young_20_29,0,correct,2457,2450,0.5609999895095825,0.5873657312822806,0.03726235080717176
current_evidence__saved_gate_execution,raw,0,young_20_29,0,error,45,52,0.5450000166893005,0.6144067437523761,0.05518677801339858
current_evidence__saved_gate_execution,raw,0,young_20_29,1,all,2498,2498,0.6039999723434448,0.83026563005219,0.2081539798625146
current_evidence__saved_gate_execution,raw,0,young_20_29,1,correct,2290,2162,0.609000027179718,0.8507101157939698,0.2272239396221824
current_evidence__saved_gate_execution,raw,0,young_20_29,1,error,208,336,0.5509999990463257,0.6673230725291099,0.11463945523378605
current_evidence__saved_gate_execution,raw,0,older_80_89,0,all,2509,2509,0.8230000138282776,0.8048588298446964,0.07869887317368811
current_evidence__saved_gate_execution,raw,0,older_80_89,0,correct,2484,2484,0.8230000138282776,0.8062200368378554,0.08042846869272967
current_evidence__saved_gate_execution,raw,0,older_80_89,0,error,25,25,0.6899999976158142,0.6828288844368842,0.10001862840909134
current_evidence__saved_gate_execution,raw,0,older_80_89,1,all,2491,2491,0.9330000281333924,1.114306781562111,0.16865645679108482
current_evidence__saved_gate_execution,raw,0,older_80_89,1,correct,2394,2347,0.9404999911785126,1.1221961153225828,0.1704301855178716
current_evidence__saved_gate_execution,raw,0,older_80_89,1,error,97,144,0.7599999904632568,0.9846914350274105,0.20123517342094274
current_evidence__saved_gate_execution,raw,1,young_20_29,0,all,2502,2502,0.5600000023841858,0.5922969302370322,0.038323304380279755
current_evidence__saved_gate_execution,raw,1,young_20_29,0,correct,2457,2453,0.5609999895095825,0.5926457451558415,0.038817321134511376
current_evidence__saved_gate_execution,raw,1,young_20_29,0,error,45,49,0.5450000166893005,0.5461104995684275,0.027166822957294612
current_evidence__saved_gate_execution,raw,1,young_20_29,1,all,2498,2498,0.6039999723434448,0.8301109690257639,0.20924100953430347
current_evidence__saved_gate_execution,raw,1,young_20_29,1,correct,2290,2164,0.609000027179718,0.8507421711499026,0.22774870873549824
current_evidence__saved_gate_execution,raw,1,young_20_29,1,error,208,334,0.5509999990463257,0.6671803718434794,0.11792830378821381
current_evidence__saved_gate_execution,raw,1,older_80_89,0,all,2509,2509,0.8230000138282776,0.8087556042630459,0.07747957012441693
current_evidence__saved_gate_execution,raw,1,older_80_89,0,correct,2484,2488,0.8230000138282776,0.8089242492010765,0.08076172118829503
current_evidence__saved_gate_execution,raw,1,older_80_89,0,error,25,21,0.6899999976158142,0.8083907067147057,0.2646673486137021
current_evidence__saved_gate_execution,raw,1,older_80_89,1,all,2491,2491,0.9330000281333924,1.1130664980436074,0.16440597699333326
current_evidence__saved_gate_execution,raw,1,older_80_89,1,correct,2394,2326,0.9404999911785126,1.1224026592876868,0.16814303757571597
current_evidence__saved_gate_execution,raw,1,older_80_89,1,error,97,165,0.7599999904632568,0.9361540650912308,0.18772688853930414
current_evidence__saved_gate_execution,raw,2,young_20_29,0,all,2502,2502,0.5600000023841858,0.5888327151242663,0.037272472683095983
current_evidence__saved_gate_execution,raw,2,young_20_29,0,correct,2457,2448,0.5609999895095825,0.5896485495858874,0.03766565035996985
current_evidence__saved_gate_execution,raw,2,young_20_29,0,error,45,54,0.5450000166893005,0.5578013559923658,0.029773488747283475
current_evidence__saved_gate_execution,raw,2,young_20_29,1,all,2498,2498,0.6039999723434448,0.8288746105914311,0.20901087248118816
current_evidence__saved_gate_execution,raw,2,young_20_29,1,correct,2290,2139,0.609000027179718,0.8496615607128457,0.22653583200147373
current_evidence__saved_gate_execution,raw,2,young_20_29,1,error,208,359,0.5509999990463257,0.6911849495342859,0.1357023476442719
current_evidence__saved_gate_execution,raw,2,older_80_89,0,all,2509,2509,0.8230000138282776,0.8054866754211406,0.0784038246768768
