source,seed_id,analysis_group,user_id,congruency,rt_bin,n_trials,mean_rt,median_rt,error_rate,scheme
human,observed,young_20_29,2918,0,1,163,0.4810245397266435,0.4869999885559082,0.049079754601226995,raw
human,observed,young_20_29,2918,0,2,162,0.5403641981107218,0.5379999876022339,0.030864197530864196,raw
human,observed,young_20_29,2918,0,3,162,0.612154319330498,0.6105000078678131,0.024691358024691357,raw
human,observed,young_20_29,2918,0,4,162,0.7711604921906082,0.7284999787807465,0.030864197530864196,raw
human,observed,young_20_29,2918,1,1,162,0.5007222210183556,0.5040000081062317,0.25925925925925924,raw
human,observed,young_20_29,2918,1,2,162,0.5760432110156541,0.5740000009536743,0.10493827160493827,raw
human,observed,young_20_29,2918,1,3,162,0.6504259275065528,0.6455000042915344,0.037037037037037035,raw
human,observed,young_20_29,2918,1,4,162,0.7965555562649245,0.7585000097751617,0.024691358024691357,raw
human,observed,young_20_29,899,1,1,26,0.586807688841453,0.5925000011920929,0.038461538461538464,raw
human,observed,young_20_29,899,1,2,25,0.6458800029754639,0.6470000147819519,0.04,raw
human,observed,young_20_29,899,1,3,25,0.6939200067520142,0.6930000185966492,0.0,raw
human,observed,young_20_29,899,1,4,25,0.8110799980163574,0.7889999747276306,0.0,raw
human,observed,young_20_29,182,1,1,34,0.49252941590898175,0.49400000274181366,0.11764705882352941,raw
human,observed,young_20_29,182,1,2,34,0.5473823564894059,0.5450000166893005,0.029411764705882353,raw
human,observed,young_20_29,182,1,3,34,0.5947352963335374,0.5925000011920929,0.029411764705882353,raw
human,observed,young_20_29,182,1,4,33,0.6782727313764167,0.6629999876022339,0.0,raw
human,observed,young_20_29,5256,1,1,24,0.5777916585405668,0.5794999897480011,0.20833333333333334,raw
human,observed,young_20_29,5256,1,2,23,0.6236956482348235,0.6209999918937683,0.17391304347826086,raw
human,observed,young_20_29,5256,1,3,23,0.6754347811574521,0.6769999861717224,0.08695652173913043,raw
human,observed,young_20_29,5256,1,4,23,0.7669130434160647,0.7770000100135803,0.0,raw
human,observed,young_20_29,3875,0,1,77,0.49972727198105354,0.5189999938011169,0.025974025974025976,raw
human,observed,young_20_29,3875,0,2,77,0.5709350658701612,0.5730000138282776,0.012987012987012988,raw
human,observed,young_20_29,3875,0,3,77,0.6180259747938677,0.6150000095367432,0.025974025974025976,raw
human,observed,young_20_29,3875,0,4,76,0.7308947389063082,0.6885000169277191,0.013157894736842105,raw
human,observed,young_20_29,899,0,1,26,0.5335769275060067,0.5419999957084656,0.0,raw
human,observed,young_20_29,899,0,2,26,0.574807692032594,0.5694999992847443,0.0,raw
human,observed,young_20_29,899,0,3,25,0.6222000026702881,0.6179999709129333,0.0,raw
human,observed,young_20_29,899,0,4,25,0.7215599966049194,0.7020000219345093,0.0,raw
human,observed,young_20_29,677,0,1,29,0.5364827595908066,0.5400000214576721,0.034482758620689655,raw
human,observed,young_20_29,677,0,2,28,0.5698928534984589,0.5674999952316284,0.0,raw
human,observed,young_20_29,677,0,3,28,0.6063571444579533,0.6095000207424164,0.03571428571428571,raw
human,observed,young_20_29,677,0,4,28,0.681607146348272,0.6590000092983246,0.0,raw
human,observed,young_20_29,5675,0,1,147,0.4328911571072883,0.4379999935626983,0.02040816326530612,raw
human,observed,young_20_29,5675,0,2,147,0.4734149631999788,0.4729999899864197,0.0,raw
human,observed,young_20_29,5675,0,3,147,0.520292517482018,0.5180000066757202,0.006802721088435374,raw
human,observed,young_20_29,5675,0,4,146,0.6152328779436138,0.601500004529953,0.0136986301369863,raw
human,observed,young_20_29,5675,1,1,145,0.4571310350607181,0.4639999866485595,0.09655172413793103,raw
human,observed,young_20_29,5675,1,2,145,0.5056758617532664,0.5049999952316284,0.04827586206896552,raw
human,observed,young_20_29,5675,1,3,145,0.5587586185027813,0.5590000152587891,0.041379310344827586,raw
