sample_row_id,trial_id,analysis_group,congruency,rt,source
0,27932,young_20_29,congruent,0.6290000081062317,Human
1,109710,young_20_29,incongruent,0.847000002861023,Human
2,171568,young_20_29,congruent,0.6069999933242798,Human
3,38572,young_20_29,congruent,0.656000018119812,Human
4,56466,young_20_29,congruent,0.6069999933242798,Human
5,11108,young_20_29,incongruent,0.5070000290870667,Human
6,29633,young_20_29,incongruent,0.7590000033378601,Human
7,1455,young_20_29,incongruent,0.6930000185966492,Human
8,2688,young_20_29,congruent,0.5429999828338623,Human
9,8779,young_20_29,congruent,0.6489999890327454,Human
10,38976,young_20_29,congruent,0.5099999904632568,Human
11,60310,young_20_29,congruent,0.5830000042915344,Human
12,9699,young_20_29,congruent,0.5600000023841858,Human
13,9907,young_20_29,congruent,0.609000027179718,Human
14,10236,young_20_29,congruent,0.5139999985694885,Human
15,51527,young_20_29,incongruent,0.4860000014305115,Human
16,12416,young_20_29,incongruent,0.8650000095367432,Human
17,16763,young_20_29,incongruent,0.5040000081062317,Human
18,62692,young_20_29,congruent,0.4740000069141388,Human
19,97465,young_20_29,congruent,0.6679999828338623,Human
20,8706,young_20_29,incongruent,0.6549999713897705,Human
21,130534,young_20_29,congruent,0.5600000023841858,Human
22,146826,young_20_29,congruent,0.7459999918937683,Human
23,101387,young_20_29,incongruent,0.5920000076293945,Human
24,9559,young_20_29,congruent,0.6589999794960022,Human
25,46007,young_20_29,congruent,0.5460000038146973,Human
26,160417,young_20_29,incongruent,0.6190000176429749,Human
27,84436,young_20_29,incongruent,0.4449999928474426,Human
28,34888,young_20_29,congruent,0.6299999952316284,Human
29,34659,young_20_29,incongruent,0.492000013589859,Human
30,100297,young_20_29,incongruent,0.4490000009536743,Human
31,33708,young_20_29,incongruent,0.8849999904632568,Human
32,20404,young_20_29,incongruent,0.6000000238418579,Human
33,178324,young_20_29,incongruent,0.6359999775886536,Human
34,97415,young_20_29,congruent,0.550000011920929,Human
35,14471,young_20_29,congruent,0.4629999995231628,Human
36,17313,young_20_29,incongruent,0.4690000116825104,Human
37,174069,young_20_29,congruent,1.0399999618530271,Human
38,32588,young_20_29,incongruent,0.6899999976158142,Human
39,2719,young_20_29,congruent,0.5139999985694885,Human
40,96956,young_20_29,congruent,0.4309999942779541,Human
41,17333,young_20_29,congruent,0.531000018119812,Human
42,24357,young_20_29,congruent,0.5960000157356262,Human
43,20455,young_20_29,congruent,0.5109999775886536,Human
44,46869,young_20_29,congruent,0.578000009059906,Human
45,18943,young_20_29,incongruent,0.5460000038146973,Human
46,11560,young_20_29,incongruent,0.5569999814033508,Human
47,73318,young_20_29,congruent,0.7149999737739563,Human
48,12912,young_20_29,incongruent,0.6940000057220459,Human
49,10761,young_20_29,congruent,0.6510000228881836,Human
50,24906,young_20_29,congruent,0.4880000054836273,Human
51,21060,young_20_29,incongruent,0.4510000050067901,Human
52,168840,young_20_29,incongruent,0.4720000028610229,Human
53,37836,young_20_29,congruent,0.4659999907016754,Human
54,108388,young_20_29,incongruent,0.5360000133514404,Human
55,5930,young_20_29,incongruent,0.753000020980835,Human
56,12336,young_20_29,congruent,0.5640000104904175,Human
57,5320,young_20_29,incongruent,0.5839999914169312,Human
58,15799,young_20_29,incongruent,0.6420000195503235,Human
59,17973,young_20_29,congruent,0.5090000033378601,Human
60,23542,young_20_29,incongruent,0.5809999704360962,Human
61,104463,young_20_29,congruent,0.609000027179718,Human
62,77240,young_20_29,congruent,0.5270000100135803,Human
63,53811,young_20_29,congruent,0.5759999752044678,Human
64,20387,young_20_29,incongruent,0.5070000290870667,Human
65,127856,young_20_29,incongruent,0.5379999876022339,Human
66,85074,young_20_29,congruent,0.5210000276565552,Human
67,181,young_20_29,congruent,0.915000021457672,Human
68,165584,young_20_29,incongruent,0.4620000123977661,Human
69,13690,young_20_29,congruent,0.5350000262260437,Human
70,6368,young_20_29,congruent,0.5170000195503235,Human
71,4352,young_20_29,congruent,0.6330000162124634,Human
72,5303,young_20_29,incongruent,0.6150000095367432,Human
73,2652,young_20_29,incongruent,0.6340000033378601,Human
74,15975,young_20_29,congruent,0.6069999933242798,Human
75,88221,young_20_29,congruent,0.527999997138977,Human
76,161968,young_20_29,incongruent,0.5120000243186951,Human
77,6228,young_20_29,congruent,0.5040000081062317,Human
78,7689,young_20_29,incongruent,0.527999997138977,Human
79,39378,young_20_29,congruent,0.4230000078678131,Human
80,38893,young_20_29,congruent,0.5,Human
81,133650,young_20_29,congruent,0.4869999885559082,Human
82,83804,young_20_29,congruent,0.5759999752044678,Human
83,53434,young_20_29,congruent,0.671999990940094,Human
84,53400,young_20_29,congruent,0.5090000033378601,Human
85,23354,young_20_29,congruent,0.5659999847412109,Human
86,25099,young_20_29,congruent,0.578000009059906,Human
87,23710,young_20_29,incongruent,0.746999979019165,Human
88,6565,young_20_29,congruent,0.6389999985694885,Human
89,177201,young_20_29,incongruent,0.609000027179718,Human
90,21010,young_20_29,congruent,0.453000009059906,Human
91,51434,young_20_29,incongruent,0.5040000081062317,Human
92,161955,young_20_29,incongruent,0.5960000157356262,Human
93,44054,young_20_29,incongruent,0.6880000233650208,Human
94,17262,young_20_29,incongruent,0.6010000109672546,Human
95,23555,young_20_29,congruent,0.4589999914169311,Human
96,33059,young_20_29,incongruent,0.4850000143051147,Human
97,17028,young_20_29,congruent,0.574999988079071,Human
98,24487,young_20_29,congruent,0.5590000152587891,Human
99,64602,young_20_29,incongruent,0.7580000162124634,Human
100,1995,young_20_29,incongruent,0.5429999828338623,Human
101,13989,young_20_29,incongruent,0.6480000019073486,Human
102,98597,young_20_29,congruent,0.4410000145435333,Human
103,10946,young_20_29,incongruent,0.4979999959468841,Human
104,134632,young_20_29,congruent,0.5609999895095825,Human
105,22241,young_20_29,incongruent,0.6650000214576721,Human
106,4172,young_20_29,congruent,0.6690000295639038,Human
107,22381,young_20_29,congruent,0.531000018119812,Human
108,88853,young_20_29,incongruent,0.6940000057220459,Human
109,24914,young_20_29,incongruent,1.2799999713897705,Human
110,8177,young_20_29,congruent,0.9520000219345092,Human
111,17033,young_20_29,congruent,0.4850000143051147,Human
112,9374,young_20_29,congruent,0.574999988079071,Human
113,98888,young_20_29,congruent,0.4379999935626983,Human
114,168504,young_20_29,congruent,0.5210000276565552,Human
115,24301,young_20_29,incongruent,0.527999997138977,Human
116,29487,young_20_29,incongruent,0.6909999847412109,Human
117,151575,young_20_29,incongruent,0.6610000133514404,Human
118,89221,young_20_29,congruent,0.6549999713897705,Human
119,4777,young_20_29,congruent,0.6850000023841858,Human
120,84951,young_20_29,congruent,0.4830000102519989,Human
121,76278,young_20_29,congruent,0.5960000157356262,Human
122,13170,young_20_29,congruent,0.8389999866485596,Human
123,20717,young_20_29,incongruent,1.069000005722046,Human
124,108529,young_20_29,incongruent,0.6890000104904175,Human
125,18906,young_20_29,congruent,0.8519999980926514,Human
126,529,young_20_29,incongruent,0.5740000009536743,Human
127,42763,young_20_29,congruent,0.4469999969005584,Human
128,37485,young_20_29,congruent,0.6800000071525574,Human
129,157474,young_20_29,incongruent,0.4580000042915344,Human
130,111495,young_20_29,congruent,0.4469999969005584,Human
131,141384,young_20_29,incongruent,0.5490000247955322,Human
132,145418,young_20_29,congruent,0.5690000057220459,Human
133,15853,young_20_29,congruent,0.5270000100135803,Human
134,17519,young_20_29,congruent,0.5879999995231628,Human
135,115855,young_20_29,congruent,0.5090000033378601,Human
136,32990,young_20_29,incongruent,0.746999979019165,Human
137,7922,young_20_29,incongruent,0.6240000128746033,Human
138,12028,young_20_29,incongruent,0.6150000095367432,Human
139,183017,young_20_29,incongruent,1.0019999742507937,Human
140,188231,young_20_29,incongruent,0.5830000042915344,Human
