analysis_group,replicate,time,target_state,flanker_state,noise_ampa
young_20_29,0,0.0,0.10211229,0.101902016,0.003
young_20_29,0,0.01,0.10223331,0.10241714,0.003
young_20_29,0,0.02,0.103148,0.10249838,0.003
young_20_29,0,0.03,0.103105664,0.103615806,0.003
young_20_29,0,0.04,0.103493966,0.10459971,0.003
young_20_29,0,0.05,0.10409641,0.10485044,0.003
young_20_29,0,0.06,0.10271516,0.10571429,0.003
young_20_29,0,0.07,0.10340067,0.104665905,0.003
young_20_29,0,0.08,0.1046009,0.104796425,0.003
young_20_29,0,0.09,0.10499326,0.10561077,0.003
young_20_29,0,0.1,0.10736812,0.10508122,0.003
young_20_29,0,0.11,0.10791702,0.10416516,0.003
young_20_29,0,0.12,0.10821541,0.10395164,0.003
young_20_29,0,0.13,0.1099476,0.1047437,0.003
young_20_29,0,0.14,0.11146238,0.10358215,0.003
young_20_29,0,0.15,0.114500985,0.10320075,0.003
young_20_29,0,0.16,0.116746485,0.10377924,0.003
young_20_29,0,0.17,0.11809901,0.10384785,0.003
young_20_29,0,0.18,0.11962933,0.10309259,0.003
young_20_29,0,0.19,0.12131477,0.101709746,0.003
young_20_29,0,0.2,0.12247474,0.1005729,0.003
young_20_29,0,0.21,0.12579468,0.09945464,0.003
young_20_29,0,0.22,0.1284369,0.09884135,0.003
young_20_29,0,0.23,0.13053097,0.09712155,0.003
young_20_29,0,0.24,0.13352676,0.09596171,0.003
young_20_29,0,0.25,0.13460498,0.0950788,0.003
young_20_29,0,0.26,0.1392318,0.09333471,0.003
young_20_29,0,0.27,0.14233314,0.09210253,0.003
young_20_29,0,0.28,0.14569362,0.09093932,0.003
young_20_29,0,0.29,0.1486911,0.08930185,0.003
young_20_29,0,0.3,0.15156497,0.08732496,0.003
young_20_29,0,0.31,0.15586516,0.08676886,0.003
young_20_29,0,0.32,0.16106693,0.08598896,0.003
young_20_29,0,0.33,0.16388029,0.0849207,0.003
young_20_29,0,0.34,0.16726561,0.08384304,0.003
young_20_29,0,0.35000000000000003,0.17081518,0.08335408,0.003
young_20_29,0,0.36,0.17512597,0.082989134,0.003
young_20_29,0,0.37,0.17727812,0.081748426,0.003
young_20_29,0,0.38,0.18099862,0.080306344,0.003
young_20_29,0,0.39,0.18671566,0.079557315,0.003
young_20_29,0,0.4,0.19194594,0.07824504,0.003
young_20_29,0,0.41000000000000003,0.19746988,0.07612594,0.003
young_20_29,0,0.42,0.2015101,0.07507189,0.003
young_20_29,0,0.43,0.20552082,0.074035525,0.003
young_20_29,0,0.44,0.21034211,0.07367091,0.003
young_20_29,0,0.45,0.21737334,0.07234716,0.003
