model_family,model_config_id,schedule_config_id,adaptive_schedule_config_id,lapse_config_id,noise_config_id,analysis_group,congruency,parameter_setting,n_trials,overall_accuracy,congruent_accuracy,incongruent_accuracy,congruent_error_rate,incongruent_error_rate,mean_rt,rt_q10,rt_q50,rt_q90,rt_distribution_similarity,congruent_error_count,congruent_correct_count,congruent_error_rt_minus_correct_rt,congruent_fast_error_evaluable,incongruent_error_rt_minus_correct_rt,fast_bin_error_rate,slow_bin_error_rate,error_rate_by_rt_bin_rmse,target_choice_proportion,flanker_choice_proportion,other_choice_proportion,incongruent_flanker_choice_proportion,congruent_non_target_choice_proportion,target_recovery_time,target_first_rank1_time,target_first_exceeds_flanker_time,target_first_exceeds_max_other_time,target_ever_rank1_proportion,target_ever_exceeds_flanker_proportion,target_ever_exceeds_max_other_proportion,maximum_post_readout_target_margin,flanker_dominance_duration,early_flanker_dominance,late_target_recovery_strength,signed_target_margin_at_readout,target_rank_at_readout,conflict_score_mean,conflict_score_median,compression_trial_mean,compression_trial_median,control_strength_mean,schedule_acceleration_mean,conflict_compression_corr,compression_target_recovery_corr,lapse_probability_mean,lapse_trigger_proportion,lapse_triggered_error_proportion,lapse_triggered_congruent_errors,lapse_triggered_incongruent_errors,human_overall_accuracy,human_congruent_error_rate,human_incongruent_error_rate,incongruent_error_deviation,congruent_fast_error_mismatch,fast_error_preservation_score,incongruent_repair_score,behavior_score,adaptive_schedule_plausibility_score,lapse_penalty,naturalness_penalty,mechanism_score,rt_rmse_delta_vs_baseline,combined_score
WR2_uncertainty_schedule_fine,WR2_seed_current,c0.72_ls-40_tw1.00_ep30,WR2_uncertainty_schedule,none,time_gap_selected,young_20_29,congruent,"{""adaptive"": {""compression_high"": 0.45, ""compression_low"": 0.72, ""score_window_s"": 0.15, ""temp"": 0.3, ""theta_quantile"": 0.5, ""type"": ""WR2_uncertainty_schedule""}, ""custom_noise"": null, ""lapse"": {""type"": ""none""}, ""noise_mode"": ""time_gap_selected"", ""schedule"": {""compression"": 0.72, ""early_phase_shortening_ms"": 30, ""late_shift_ms"": -40, ""transition_width"": 1.0}}",2502,0.9800159872102319,0.9800159872102319,,0.019984012789768184,,0.5867209677144491,0.4334698557853699,0.5893408954143524,0.7380415856838227,0.9916303166292464,50.0,2452.0,-0.002539641144905791,True,,0.017964071856287456,0.020000000000000018,0.004973549184362903,0.9800159872102319,0.0,0.019984012789768184,,0.019984012789768184,0.0,0.0,,0.0,1.0,0.0,1.0,0.6652535435845621,0.0,0.0,0.0,0.03694153932049025,1.0,-0.8726679906437954,-0.710207998752594,0.6864100860939514,0.6951837837696075,0.12440719050177748,1.2440719050177749,-0.8111881447413716,,0.0,0.0,0.0,0.0,,0.9501516300227444,0.0177492447129909,0.0821917808219178,0.0821917808219178,0.002234768076777284,0.0,0.0821917808219178,0.11454291260158674,0.15,0.0,0.15,0.15,0.0,0.4967346934235045
WR2_uncertainty_schedule_fine,WR2_seed_current,c0.72_ls-40_tw1.00_ep30,WR2_uncertainty_schedule,none,time_gap_selected,young_20_29,incongruent,"{""adaptive"": {""compression_high"": 0.45, ""compression_low"": 0.72, ""score_window_s"": 0.15, ""temp"": 0.3, ""theta_quantile"": 0.5, ""type"": ""WR2_uncertainty_schedule""}, ""custom_noise"": null, ""lapse"": {""type"": ""none""}, ""noise_mode"": ""time_gap_selected"", ""schedule"": {""compression"": 0.72, ""early_phase_shortening_ms"": 30, ""late_shift_ms"": -40, ""transition_width"": 1.0}}",2498,0.7962369895916733,,0.7962369895916733,,0.20376301040832667,0.8290072065100277,0.5997918665409089,0.8323026597499847,1.0536258459091188,0.9929989175087296,,,,False,-0.16794988113967713,0.476,0.02605210420841686,0.1672108009490063,0.7962369895916733,0.2033626901521217,0.00040032025620496394,0.2033626901521217,,0.2197117694155324,0.2197117694155324,0.2197117694155324,0.2197117694155324,1.0,1.0,1.0,0.35027555156472306,0.2197117694155324,0.9008006405124098,0.350279014330921,0.021332613412466787,1.1613290632506006,0.8740653773298855,0.9220153987407684,0.47042132378388063,0.46109215915203094,0.9243655368727479,9.24365536872748,-0.8782502020300152,0.5184210219475339,0.0,0.0,0.0,,0.0,0.9501516300227444,0.0177492447129909,0.0821917808219178,0.12157122958640887,0.0177492447129909,1.003,0.22325257466246973,0.3590912704919831,0.0,0.0,1.0,0.0,0.0,2.5853438451544526
WR2_uncertainty_schedule_fine,WR2_seed_current,c0.72_ls-40_tw1.00_ep30,WR2_uncertainty_schedule,none,time_gap_selected,older_80_89,congruent,"{""adaptive"": {""compression_high"": 0.45, ""compression_low"": 0.72, ""score_window_s"": 0.15, ""temp"": 0.3, ""theta_quantile"": 0.5, ""type"": ""WR2_uncertainty_schedule""}, ""custom_noise"": null, ""lapse"": {""type"": ""none""}, ""noise_mode"": ""time_gap_selected"", ""schedule"": {""compression"": 0.72, ""early_phase_shortening_ms"": 30, ""late_shift_ms"": -40, ""transition_width"": 1.0}}",2509,0.9888401753686727,0.9888401753686727,,0.011159824631327222,,0.824258379949997,0.5690818309783936,0.8260800838470459,1.0788897037506104,0.9737047723093746,28.0,2481.0,-0.04571750748495218,True,,0.013944223107569709,0.005988023952095856,0.00791897108305671,0.9888401753686727,0.0,0.011159824631327222,,0.011159824631327222,0.0,0.0,,0.0,1.0,0.0,1.0,0.6655004224652739,0.0,0.0,0.0,0.0657050185359869,1.0,-0.8759944179641584,-0.7278520464897156,0.6840282215830719,0.6938636898994446,0.1332289083705981,1.3322890837059809,-0.8313088660595682,,0.0,0.0,0.0,0.0,,0.976764500349406,0.0090027700831024,0.0377291960507757,0.0377291960507757,0.0021570545482248217,0.0,0.0377291960507757,0.05376435661157082,0.15,0.0,0.15,0.15,0.0,0.39149355266234653
WR2_uncertainty_schedule_fine,WR2_seed_current,c0.72_ls-40_tw1.00_ep30,WR2_uncertainty_schedule,none,time_gap_selected,older_80_89,incongruent,"{""adaptive"": {""compression_high"": 0.45, ""compression_low"": 0.72, ""score_window_s"": 0.15, ""temp"": 0.3, ""theta_quantile"": 0.5, ""type"": ""WR2_uncertainty_schedule""}, ""custom_noise"": null, ""lapse"": {""type"": ""none""}, ""noise_mode"": ""time_gap_selected"", ""schedule"": {""compression"": 0.72, ""early_phase_shortening_ms"": 30, ""late_shift_ms"": -40, ""transition_width"": 1.0}}",2491,0.9421918908069049,,0.9421918908069049,,0.05780810919309514,1.1354350982565136,0.8302119374275208,1.1372532844543457,1.4381070137023926,0.9916082097431417,,,,False,-0.19716178831415831,0.14228456913827658,0.016064257028112428,0.02083565959824527,0.9421918908069049,0.05780810919309514,0.0,0.05780810919309514,,0.21853071055800885,0.21853071055800885,0.21853071055800885,0.21853071055800885,1.0,1.0,1.0,0.34930231876518775,0.21853071055800885,0.902368526696106,0.3493076229983188,0.0494540070300598,1.0405459654757125,0.8823243658525128,0.9327775239944458,0.46833039019204487,0.4595843553543091,0.9321097342431282,9.321097342431282,-0.8687046247515146,0.4673157110530567,0.0,0.0,0.0,,0.0,0.976764500349406,0.0090027700831024,0.0377291960507757,0.020078913142319438,0.0090027700831024,1.003,0.04898296773886701,0.06506935248394315,0.0,0.0,1.0,0.0,0.0,2.11705232022281
WR2_uncertainty_schedule_fine,WR2_fine_a672a64e,c0.72_ls-40_tw1.00_ep30,WR2_uncertainty_schedule,none,time_gap_selected,young_20_29,congruent,"{""adaptive"": {""compression_high"": 0.48, ""compression_low"": 0.72, ""score_window_s"": 0.15, ""temp"": 0.3, ""theta_quantile"": 0.5, ""type"": ""WR2_uncertainty_schedule""}, ""custom_noise"": null, ""lapse"": {""type"": ""none""}, ""noise_mode"": ""time_gap_selected"", ""schedule"": {""compression"": 0.72, ""early_phase_shortening_ms"": 30, ""late_shift_ms"": -40, ""transition_width"": 1.0}}",2502,0.9840127897681854,0.9840127897681854,,0.01598721023181455,,0.5867729262172652,0.4334698557853699,0.589175283908844,0.7381288886070252,0.9917328882797977,40.0,2462.0,-0.001194679836956758,True,,0.019960079840319334,0.02200000000000002,0.006869761214840576,0.9840127897681854,0.0,0.01598721023181455,,0.01598721023181455,0.0,0.0,,0.0,1.0,0.0,1.0,0.6652861195478699,0.0,0.0,0.0,0.036944174807039286,1.0,-0.8726679906437954,-0.710207998752594,0.6901423036099242,0.6979411542415619,0.12440719050177748,1.2440719050177749,-0.8111881517393564,,0.0,0.0,0.0,0.0,,0.9501516300227444,0.0177492447129909,0.0821917808219178,0.0821917808219178,0.0017620344811763514,0.0,0.0821917808219178,0.1194878211747791,0.15,0.0,0.15,0.15,0.0,0.5016796019966969
WR2_uncertainty_schedule_fine,WR2_fine_a672a64e,c0.72_ls-40_tw1.00_ep30,WR2_uncertainty_schedule,none,time_gap_selected,young_20_29,incongruent,"{""adaptive"": {""compression_high"": 0.48, ""compression_low"": 0.72, ""score_window_s"": 0.15, ""temp"": 0.3, ""theta_quantile"": 0.5, ""type"": ""WR2_uncertainty_schedule""}, ""custom_noise"": null, ""lapse"": {""type"": ""none""}, ""noise_mode"": ""time_gap_selected"", ""schedule"": {""compression"": 0.72, ""early_phase_shortening_ms"": 30, ""late_shift_ms"": -40, ""transition_width"": 1.0}}",2498,0.7618094475580465,,0.7618094475580465,,0.23819055244195356,0.8301961573364259,0.5973661243915558,0.8348836302757263,1.0598745942115784,0.9928320758670525,,,,False,-0.18605054676020283,0.5700000000000001,0.04008016032064132,0.21750274280647786,0.7618094475580465,0.23819055244195356,0.0,0.23819055244195356,,0.236773418734988,0.236773418734988,0.236773418734988,0.236773418734988,1.0,1.0,1.0,0.34347143468914554,0.23681745396317055,0.9288764344809182,0.34347464604447897,0.019437283705517328,1.188951160928743,0.8740653773298855,0.9220153987407684,0.4981523037815781,0.4898597300052643,0.9243655368727479,9.24365536872748,-0.8782502130744355,0.5030824896106851,0.0,0.0,0.0,,0.0,0.9501516300227444,0.0177492447129909,0.0821917808219178,0.15599877162003575,0.0177492447129909,1.003,0.27509404784101255,0.45309232548797257,0.0,0.0,1.0,0.0,0.0,2.731186373328985
WR2_uncertainty_schedule_fine,WR2_fine_a672a64e,c0.72_ls-40_tw1.00_ep30,WR2_uncertainty_schedule,none,time_gap_selected,older_80_89,congruent,"{""adaptive"": {""compression_high"": 0.48, ""compression_low"": 0.72, ""score_window_s"": 0.15, ""temp"": 0.3, ""theta_quantile"": 0.5, ""type"": ""WR2_uncertainty_schedule""}, ""custom_noise"": null, ""lapse"": {""type"": ""none""}, ""noise_mode"": ""time_gap_selected"", ""schedule"": {""compression"": 0.72, ""early_phase_shortening_ms"": 30, ""late_shift_ms"": -40, ""transition_width"": 1.0}}",2509,0.9944200876843364,0.9944200876843364,,0.005579912315663611,,0.8243580211938354,0.5690818309783936,0.8260800838470459,1.0788897037506104,0.9737047723093746,14.0,2495.0,0.06685055671603701,True,,0.0019920318725099584,0.005988023952095856,0.011785557680963704,0.9944200876843364,0.0,0.005579912315663611,,0.005579912315663611,0.0,0.0,,0.0,1.0,0.0,1.0,0.665533142754546,0.0,0.0,0.0,0.06571535005922002,1.0,-0.8759944179641584,-0.7278520464897156,0.6880250916674869,0.6967677474021912,0.1332289083705981,1.3322890837059809,-0.8313088696413812,,0.0,0.0,0.0,0.0,,0.976764500349406,0.0090027700831024,0.0377291960507757,0.0377291960507757,0.07027341448347581,0.06785055671603701,0.0377291960507757,0.061277562226188,0.15,0.0,0.15,0.15,0.0,0.46685731499300065
WR2_uncertainty_schedule_fine,WR2_fine_a672a64e,c0.72_ls-40_tw1.00_ep30,WR2_uncertainty_schedule,none,time_gap_selected,older_80_89,incongruent,"{""adaptive"": {""compression_high"": 0.48, ""compression_low"": 0.72, ""score_window_s"": 0.15, ""temp"": 0.3, ""theta_quantile"": 0.5, ""type"": ""WR2_uncertainty_schedule""}, ""custom_noise"": null, ""lapse"": {""type"": ""none""}, ""noise_mode"": ""time_gap_selected"", ""schedule"": {""compression"": 0.72, ""early_phase_shortening_ms"": 30, ""late_shift_ms"": -40, ""transition_width"": 1.0}}",2491,0.9297470895222802,,0.9297470895222802,,0.0702529104777198,1.1419706258822617,0.8359836339950562,1.145821452140808,1.4460618495941162,0.9911886882877785,,,,False,-0.22745632343150457,0.18436873747494986,0.02208835341365467,0.04009403488520115,0.9297470895222802,0.0702529104777198,0.0,0.0702529104777198,,0.23567643516659978,0.23567643516659978,0.23567643516659978,0.23567643516659978,1.0,1.0,1.0,0.3424886424155754,0.23567643516659978,0.9288639100762747,0.34249355898222644,0.04823528583427358,1.0501806503412283,0.8823243658525128,0.9327775239944458,0.4962936972743869,0.48851943016052246,0.9321097342431282,9.321097342431282,-0.8687046304434054,0.45233157830998205,0.0,0.0,0.0,,0.0,0.976764500349406,0.0090027700831024,0.0377291960507757,0.03252371442694409,0.0090027700831024,1.003,0.06765016966580399,0.0995881426966704,0.0,0.0,1.0,0.0,0.0,2.1702383123624744
WR2_uncertainty_schedule_fine,WR2_fine_8920c3e6,c0.72_ls-40_tw1.00_ep30,WR2_uncertainty_schedule,none,time_gap_selected,young_20_29,congruent,"{""adaptive"": {""compression_high"": 0.45, ""compression_low"": 0.72, ""score_window_s"": 0.15, ""temp"": 0.22, ""theta_quantile"": 0.5, ""type"": ""WR2_uncertainty_schedule""}, ""custom_noise"": null, ""lapse"": {""type"": ""none""}, ""noise_mode"": ""time_gap_selected"", ""schedule"": {""compression"": 0.72, ""early_phase_shortening_ms"": 30, ""late_shift_ms"": -40, ""transition_width"": 1.0}}",2502,0.9816147082334132,0.9816147082334132,,0.01838529176658673,,0.5868368750567631,0.4334698557853699,0.5893408954143524,0.7381245911121368,0.9916510875049229,46.0,2456.0,0.012835357452676388,True,,0.017964071856287456,0.016000000000000014,0.004287662285245796,0.9816147082334132,0.0,0.01838529176658673,,0.01838529176658673,0.0,0.0,,0.0,1.0,0.0,1.0,0.6654358725372455,0.0,0.0,0.0,0.03694191989567068,1.0,-0.8726679906437954,-0.710207998752594,0.6966246314448037,0.7086191475391388,0.08657554265430632,0.8657554265430631,-0.7022879393128334,,0.0,0.0,0.0,0.0,,0.9501516300227444,0.0177492447129909,0.0821917808219178,0.0821917808219178,0.013471404506272218,0.013835357452676389,0.0821917808219178,0.11579869017520955,0.15,0.0,0.15,0.15,0.0,0.5118258284498037
WR2_uncertainty_schedule_fine,WR2_fine_8920c3e6,c0.72_ls-40_tw1.00_ep30,WR2_uncertainty_schedule,none,time_gap_selected,young_20_29,incongruent,"{""adaptive"": {""compression_high"": 0.45, ""compression_low"": 0.72, ""score_window_s"": 0.15, ""temp"": 0.22, ""theta_quantile"": 0.5, ""type"": ""WR2_uncertainty_schedule""}, ""custom_noise"": null, ""lapse"": {""type"": ""none""}, ""noise_mode"": ""time_gap_selected"", ""schedule"": {""compression"": 0.72, ""early_phase_shortening_ms"": 30, ""late_shift_ms"": -40, ""transition_width"": 1.0}}",2498,0.8050440352281826,,0.8050440352281826,,0.19495596477181745,0.8291793443662248,0.6022911667823792,0.8311275541782379,1.0521225690841676,0.9934825802572624,,,,False,-0.17257650233006494,0.47,0.024048096192384794,0.1615458845597171,0.8050440352281826,0.19495596477181745,0.0,0.19495596477181745,,0.2150040032025621,0.2150040032025621,0.2150040032025621,0.2150040032025621,1.0,1.0,1.0,0.3533036612851129,0.2150040032025621,0.8953829730451028,0.35330719879572636,0.022062611394077898,1.1521216973578863,0.8740653773298855,0.9220153987407684,0.4622924968755369,0.45362958312034607,0.9544723007534955,9.544723007534955,-0.7872142163391743,0.48358410061747925,0.0,0.0,0.0,,0.0,0.9501516300227444,0.0177492447129909,0.0821917808219178,0.11276418394989965,0.0177492447129909,1.003,0.2102421663358084,0.33864472102432,0.0,0.0,1.0,0.0,0.0,2.551886887360128
