model_config_id,lenient_young_incongruent_error_rate_le_0.25,lenient_older_incongruent_error_rate_le_0.15,lenient_young_congruent_nonzero,lenient_older_congruent_nonzero,lenient_congruent_fast_error_or_weak,lenient_early_flanker_dominance_ge_0.10,lenient_rt_not_broken,lenient_no_perfect_accuracy,main_young_incongruent_error_rate_le_0.20,main_older_incongruent_error_rate_le_0.10,main_young_congruent_error_rate_0.003_to_0.05,main_older_congruent_error_rate_ge_0.002,main_young_congruent_fast_error,main_older_congruent_fast_error_not_absent,main_early_flanker_dominance_ge_0.15,main_incongruent_flanker_choice_limited,main_rt_bin_rmse_not_too_much_worse,main_no_unrealistic_perfect_accuracy,main_lapse_errors_not_excessive,main_not_all_trials_strongest_compression,strict_young_incongruent_human_plus_0.05,strict_older_incongruent_human_plus_0.05,strict_young_congruent_human_pm_0.015,strict_older_congruent_human_pm_0.015,strict_both_fast_error_evaluable_negative,strict_early_flanker_dominance_ge_0.20,strict_rt_profile_close,strict_no_excessive_lapse,pass_lenient,fail_count_lenient,first_failed_constraint_lenient,pass_main,fail_count_main,first_failed_constraint_main,pass_strict,fail_count_strict,first_failed_constraint_strict,failure_reason_category,recommended_for_next_search
WR2_fine_7ce51497,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,1,lenient_congruent_fast_error_or_weak,False,1,main_older_congruent_fast_error_not_absent,False,2,strict_young_incongruent_human_plus_0.05,mixed_tradeoff,report_negative_result
WR2_fine_76f666bc,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,1,lenient_congruent_fast_error_or_weak,False,1,main_young_congruent_fast_error,False,2,strict_young_incongruent_human_plus_0.05,no_congruent_fast_error,report_negative_result
WR2_fine_3744359a,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,0,,True,0,,False,1,strict_young_incongruent_human_plus_0.05,mixed_tradeoff,fine_search_seed
WR2_fine_23a33258,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,1,lenient_congruent_fast_error_or_weak,False,1,main_young_congruent_fast_error,False,2,strict_young_incongruent_human_plus_0.05,no_congruent_fast_error,report_negative_result
WR2_fine_54d09fdb,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,1,lenient_congruent_fast_error_or_weak,False,1,main_young_congruent_fast_error,False,2,strict_young_incongruent_human_plus_0.05,no_congruent_fast_error,report_negative_result
WR2_fine_3e4f5056,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,0,,True,0,,False,1,strict_young_incongruent_human_plus_0.05,mixed_tradeoff,fine_search_seed
WR2_fine_623ef747,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,1,lenient_congruent_fast_error_or_weak,False,1,main_young_congruent_fast_error,False,2,strict_young_incongruent_human_plus_0.05,no_congruent_fast_error,report_negative_result
WR2_fine_a6b0857f,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,0,,True,0,,False,1,strict_young_incongruent_human_plus_0.05,mixed_tradeoff,fine_search_seed
WR2_fine_0bc9e46c,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,0,,True,0,,False,1,strict_young_incongruent_human_plus_0.05,mixed_tradeoff,fine_search_seed
WR2_fine_bd5c5a06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,0,,True,0,,False,1,strict_young_incongruent_human_plus_0.05,mixed_tradeoff,fine_search_seed
WR2_fine_5547a496,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,1,lenient_congruent_fast_error_or_weak,False,1,main_older_congruent_fast_error_not_absent,False,2,strict_young_incongruent_human_plus_0.05,mixed_tradeoff,report_negative_result
WR2_fine_a88930e7,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,1,lenient_congruent_fast_error_or_weak,False,1,main_older_congruent_fast_error_not_absent,False,2,strict_young_incongruent_human_plus_0.05,mixed_tradeoff,report_negative_result
WR2_fine_2f953537,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,1,lenient_congruent_fast_error_or_weak,False,1,main_older_congruent_fast_error_not_absent,False,2,strict_young_incongruent_human_plus_0.05,mixed_tradeoff,report_negative_result
WR2_fine_da09b082,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,0,,True,0,,False,1,strict_young_incongruent_human_plus_0.05,mixed_tradeoff,fine_search_seed
WR2_fine_d3c40cc9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,0,,True,0,,False,1,strict_young_incongruent_human_plus_0.05,mixed_tradeoff,fine_search_seed
WR2_fine_e51a945f,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,0,,True,0,,False,1,strict_young_incongruent_human_plus_0.05,mixed_tradeoff,fine_search_seed
WR2_fine_8bc14a3f,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,0,,True,0,,False,1,strict_young_incongruent_human_plus_0.05,mixed_tradeoff,fine_search_seed
WR2_fine_861131dc,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,1,lenient_congruent_fast_error_or_weak,False,1,main_young_congruent_fast_error,False,2,strict_young_incongruent_human_plus_0.05,no_congruent_fast_error,report_negative_result
WR2_fine_5215e466,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,1,lenient_congruent_fast_error_or_weak,False,1,main_young_congruent_fast_error,False,2,strict_young_incongruent_human_plus_0.05,no_congruent_fast_error,report_negative_result
WR2_fine_3f4df93b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,0,,True,0,,False,1,strict_young_incongruent_human_plus_0.05,mixed_tradeoff,fine_search_seed
