source,analysis_group,congruency,quantile,rt
human,young_20_29,congruent,0.1,0.460999995470047
human,young_20_29,congruent,0.3,0.515999972820282
human,young_20_29,congruent,0.5,0.5600000023841858
human,young_20_29,congruent,0.7,0.6100000143051147
human,young_20_29,congruent,0.9,0.7089999914169312
human,young_20_29,incongruent,0.1,0.4880000054836273
human,young_20_29,incongruent,0.3,0.5509999990463257
human,young_20_29,incongruent,0.5,0.6039999723434448
human,young_20_29,incongruent,0.7,0.6639999747276306
human,young_20_29,incongruent,0.9,0.7713000237941744
human,older_80_89,congruent,0.1,0.6639999747276306
human,older_80_89,congruent,0.3,0.7413999915122985
human,older_80_89,congruent,0.5,0.8230000138282776
human,older_80_89,congruent,0.7,0.9570000171661376
human,older_80_89,congruent,0.9,1.190999984741211
human,older_80_89,incongruent,0.1,0.7200000286102295
human,older_80_89,incongruent,0.3,0.8299999833106995
human,older_80_89,incongruent,0.5,0.9330000281333924
human,older_80_89,incongruent,0.7,1.0549999475479126
human,older_80_89,incongruent,0.9,1.2630000114440918
model,young_20_29,congruent,0.1,0.4334698557853699
model,young_20_29,congruent,0.3,0.5221877217292785
model,young_20_29,congruent,0.5,0.5893408954143524
model,young_20_29,congruent,0.7,0.6513960003852844
model,young_20_29,congruent,0.9,0.7381245911121368
model,young_20_29,incongruent,0.1,0.6034417808055877
model,young_20_29,incongruent,0.3,0.7355170130729676
model,young_20_29,incongruent,0.5,0.8256678581237793
model,young_20_29,incongruent,0.7,0.91200070977211
model,young_20_29,incongruent,0.9,1.0417032957077028
model,older_80_89,congruent,0.1,0.5690818309783936
model,older_80_89,congruent,0.3,0.7218881368637085
model,older_80_89,congruent,0.5,0.8262264728546143
model,older_80_89,congruent,0.7,0.9308576703071594
model,older_80_89,congruent,0.9,1.0788897037506104
model,older_80_89,incongruent,0.1,0.8286484479904175
model,older_80_89,incongruent,0.3,1.0064647197723389
model,older_80_89,incongruent,0.5,1.1272099018096924
model,older_80_89,incongruent,0.7,1.249233961105347
model,older_80_89,incongruent,0.9,1.4263542890548706
