age_group,analysis_group,source,congruency,congruency_code,quantile_bin,rt_lower,rt_upper,median_rt,mean_rt,accuracy,ci95_low,ci95_high,n_trials,n_participants,ci_method
Older,older_80_89,Human,Congruent,0,1,0.151,0.704,0.664,0.6512549800796813,0.9721115537848606,0.9448818897637795,0.98989898989899,502,3,participant_bootstrap
Older,older_80_89,Human,Congruent,0,2,0.704,0.777,0.7415,0.7406334661354582,0.9920318725099602,0.9890637598924892,0.994475138121547,502,4,participant_bootstrap
Older,older_80_89,Human,Congruent,0,3,0.777,0.881,0.823,0.8243605577689245,0.9940239043824701,0.9899328859060402,1.0,502,4,participant_bootstrap
Older,older_80_89,Human,Congruent,0,4,0.881,1.047,0.9575,0.9590298804780877,0.9940239043824701,0.9834710743801653,0.9987893462469734,502,4,participant_bootstrap
Older,older_80_89,Human,Congruent,0,5,1.047,8.018,1.191,1.3146546906187626,0.998003992015968,0.985781990521327,1.0,501,4,participant_bootstrap
Older,older_80_89,Human,Incongruent,1,1,0.174,0.779,0.72,0.7034669338677355,0.8837675350701403,0.8208955223880597,0.9417879417879418,499,4,participant_bootstrap
Older,older_80_89,Human,Incongruent,1,2,0.78,0.878,0.83,0.8277208835341366,0.963855421686747,0.9570637119113573,0.9785714285714285,498,4,participant_bootstrap
Older,older_80_89,Human,Incongruent,1,3,0.878,0.989,0.9335,0.9331124497991968,0.9839357429718876,0.9770114942528736,0.994413407821229,498,4,participant_bootstrap
Older,older_80_89,Human,Incongruent,1,4,0.99,1.135,1.055,1.0571546184738956,0.9839357429718876,0.9731051344743277,0.990521327014218,498,4,participant_bootstrap
Older,older_80_89,Human,Incongruent,1,5,1.136,6.419,1.263,1.4010180722891568,0.9899598393574297,0.9736842105263158,0.9934579439252337,498,4,participant_bootstrap
Older,older_80_89,Model,Congruent,0,1,0.31233165,0.6591928,0.56559375,0.5480101569521914,1.0,1.0,1.0,502,4,participant_bootstrap
Older,older_80_89,Model,Congruent,0,2,0.65935314,0.77478975,0.72034031,0.7196708786454183,1.0,1.0,1.0,502,4,participant_bootstrap
