age_group,analysis_group,source,response_type,quantile_bin,median_rt,mean_rt,proportion,ci95_low,ci95_high,n_trials,n_participants
Older,older_80_89,Human,target,1,0.72,0.7034669338677355,0.8837675350701403,0.8208955223880597,0.937888198757764,499,4
Older,older_80_89,Human,flanker,1,0.72,0.7034669338677355,0.10220440881763528,0.043478260869565216,0.14393939393939395,499,4
Older,older_80_89,Human,other,1,0.72,0.7034669338677355,0.014028056112224449,0.004807692307692308,0.022727272727272728,499,4
Older,older_80_89,Human,target,2,0.83,0.8277208835341366,0.963855421686747,0.9569120287253142,0.9785714285714285,498,4
Older,older_80_89,Human,flanker,2,0.83,0.8277208835341366,0.028112449799196786,0.007142857142857143,0.04145077720207254,498,4
Older,older_80_89,Human,other,2,0.83,0.8277208835341366,0.008032128514056224,0.0,0.014285714285714285,498,4
Older,older_80_89,Human,target,3,0.9335,0.9331124497991968,0.9839357429718876,0.9770114942528736,0.9925925925925926,498,4
Older,older_80_89,Human,flanker,3,0.9335,0.9331124497991968,0.012048192771084338,0.0048543689320388345,0.017077961321514904,498,4
Older,older_80_89,Human,other,3,0.9335,0.9331124497991968,0.004016064257028112,0.0,0.008298603651987105,498,4
Older,older_80_89,Human,target,4,1.055,1.0571546184738956,0.9839357429718876,0.9731051344743277,0.990521327014218,498,4
Older,older_80_89,Human,flanker,4,1.055,1.0571546184738956,0.012048192771084338,0.0040650406504065045,0.024390243902439025,498,4
Older,older_80_89,Human,other,4,1.055,1.0571546184738956,0.004016064257028112,0.0,0.01729106628242075,498,4
Older,older_80_89,Human,target,5,1.263,1.4010180722891568,0.9899598393574297,0.9714285714285714,0.9934579439252337,498,4
Older,older_80_89,Human,flanker,5,1.263,1.4010180722891568,0.004016064257028112,0.0,0.01056338028169014,498,4
Older,older_80_89,Human,other,5,1.263,1.4010180722891568,0.006024096385542169,0.002369668246445498,0.02631578947368421,498,4
Older,older_80_89,Model,target,1,0.6623686,0.635097996252505,0.5771543086172345,0.5628865979381443,0.5932584269662922,499,4
Older,older_80_89,Model,flanker,1,0.6623686,0.635097996252505,0.4228456913827655,0.4067415730337079,0.4367816091954023,499,4
Older,older_80_89,Model,other,1,0.6623686,0.635097996252505,0.0,0.0,0.0,499,4
Older,older_80_89,Model,target,2,0.83438722,0.8351519668273092,0.5642570281124498,0.5128676470588235,0.6044444444444445,498,4
Older,older_80_89,Model,flanker,2,0.83438722,0.8351519668273092,0.4357429718875502,0.39148073022312374,0.48695652173913045,498,4
Older,older_80_89,Model,other,2,0.83438722,0.8351519668273092,0.0,0.0,0.0,498,4
Older,older_80_89,Model,target,3,0.96811812,0.9727371501204817,0.6465863453815262,0.6274509803921569,0.673866090712743,498,4
Older,older_80_89,Model,flanker,3,0.96811812,0.9727371501204817,0.3534136546184739,0.33114035087719296,0.37254901960784315,498,4
Older,older_80_89,Model,other,3,0.96811812,0.9727371501204817,0.0,0.0,0.0,498,4
Older,older_80_89,Model,target,4,1.13042235,1.1409776457831329,0.7289156626506024,0.7045045045045045,0.7522052128988544,498,4
