source,age_group,row_index,target_label,flanker_label,observed_choice,response_type
Human,Older,27722,2,0,2,target
Human,Older,22366,1,0,1,target
Human,Older,16343,2,1,2,target
Human,Older,21423,3,2,3,target
Human,Older,4350,1,0,1,target
Human,Older,26656,2,0,0,flanker
Human,Older,13487,2,3,3,flanker
Human,Older,8271,3,2,2,flanker
Human,Older,34182,1,0,0,flanker
Human,Older,23092,3,0,0,flanker
Human,Older,24666,3,0,2,other
Human,Older,13404,0,2,3,other
Human,Older,601,2,0,3,other
Human,Older,15069,2,0,3,other
Human,Older,27817,0,1,2,other
Model,Older,27722,2,0,2,target
Model,Older,16343,2,1,2,target
Model,Older,21423,3,2,3,target
Model,Older,2266,3,2,3,target
Model,Older,18528,0,3,0,target
Model,Older,22366,1,0,0,flanker
Model,Older,4350,1,0,0,flanker
Model,Older,7475,2,0,0,flanker
Model,Older,25562,2,1,1,flanker
Model,Older,28955,2,0,0,flanker
Human,Young,109710,2,1,2,target
Human,Young,11108,1,0,1,target
Human,Young,29633,1,0,1,target
Human,Young,1455,3,2,3,target
Human,Young,51527,2,0,2,target
Human,Young,168840,2,3,3,flanker
Human,Young,37320,2,0,0,flanker
Human,Young,41415,0,1,1,flanker
Human,Young,24424,0,1,1,flanker
Human,Young,24414,2,1,1,flanker
Human,Young,12028,2,0,3,other
Human,Young,996,1,0,3,other
Human,Young,10981,1,0,2,other
Human,Young,115672,3,1,2,other
Human,Young,80991,2,1,3,other
Model,Young,109710,2,1,2,target
Model,Young,12416,3,2,3,target
Model,Young,8706,1,3,1,target
Model,Young,101387,0,1,0,target
Model,Young,160417,0,3,0,target
Model,Young,11108,1,0,0,flanker
Model,Young,29633,1,0,0,flanker
Model,Young,1455,3,2,2,flanker
Model,Young,51527,2,0,0,flanker
Model,Young,16763,0,2,2,flanker
