age_group,analysis_group,trial_output_index,row_index,target_direction,flanker_direction,final_response,correct,rt,decision_time,t0,hard_first_crossing_channel,evidence_winner_at_crossing,state_winner_at_crossing,winner_runner_up_evidence_gap,winner_runner_up_state_gap,fallback_used,response_type,error_source_category,rt_quantile_bin
Older,older_80_89,3,27722,2,0,2,True,0.9528871258238019,0.11,0.8428871258238019,0,0,0,0.7268347144126892,0.050568848848342896,False,target,correct,3
Older,older_80_89,6,22366,1,0,0,False,0.8122187778048794,0.08,0.7322187778048794,0,0,0,1.4585380554199219,0.06163179129362106,False,flanker,evidence-origin,2
Older,older_80_89,7,16343,2,1,2,True,0.8795765360294409,0.13,0.7495765360294409,1,1,1,1.0026525259017944,0.06515906751155853,False,target,correct,2
Older,older_80_89,9,21423,3,2,3,True,0.9944201557642174,0.15,0.8444201557642174,2,2,2,0.7694540023803711,0.06312298774719238,False,target,correct,3
Older,older_80_89,10,4350,1,0,0,False,0.5542302509421685,0.08,0.4742302509421685,0,0,0,1.4864819049835205,0.06285025179386139,False,flanker,evidence-origin,1
Older,older_80_89,11,7475,2,0,0,False,0.8253874439150801,0.15,0.6753874439150801,0,0,0,0.6771497130393982,0.06003119796514511,False,flanker,evidence-origin,2
Older,older_80_89,16,2266,3,2,3,True,1.2315928851984337,0.14,1.0915928851984336,2,2,2,0.7830747961997986,0.0639866515994072,False,target,correct,4
Older,older_80_89,17,18528,0,3,0,True,1.3103067693636525,0.72,0.5903067693636526,0,0,0,1.0558093786239624,0.06177663803100586,False,target,correct,5
Older,older_80_89,23,18174,3,1,3,True,1.5769300616936828,0.79,0.7869300616936827,3,3,3,0.781104326248169,0.044870175421237946,True,target,correct,5
Older,older_80_89,25,3514,1,2,1,True,0.8177811144556151,0.12,0.6977811144556151,2,2,2,0.47853294014930725,0.05028090626001358,False,target,correct,2
Older,older_80_89,27,13482,2,3,2,True,1.341799569874803,0.61,0.7317995698748031,2,2,2,0.6414058208465576,0.03313568979501724,False,target,correct,5
Older,older_80_89,29,29968,0,1,0,True,0.8388439721260188,0.16,0.6788439721260188,1,1,1,0.6659201979637146,0.06209456920623779,False,target,correct,2
Older,older_80_89,30,23884,3,1,3,True,1.1868937560586077,0.13,1.0568937560586078,1,1,1,0.459614634513855,0.043438151478767395,False,target,correct,4
Older,older_80_89,31,12695,1,2,1,True,1.167864656679449,0.36,0.8078646566794491,1,1,1,0.7430263757705688,0.020058870315551758,False,target,correct,4
Older,older_80_89,32,25562,2,1,1,False,0.6354687713236892,0.12,0.5154687713236892,1,1,1,1.0988878011703491,0.06408073008060455,False,flanker,evidence-origin,1
Older,older_80_89,38,6528,3,1,3,True,0.5890679533400744,0.16,0.4290679533400744,1,1,1,0.4324468672275543,0.05016627907752991,False,target,correct,1
Older,older_80_89,39,13236,2,3,2,True,1.770272254496253,0.66,1.110272254496253,2,2,2,0.7961331605911255,0.04256439954042435,False,target,correct,5
Older,older_80_89,41,19486,3,0,3,True,1.0634098146841633,0.14,0.9234098146841633,0,0,0,0.48641136288642883,0.05213207006454468,False,target,correct,4
Older,older_80_89,42,28955,2,0,0,False,0.8248766556723227,0.15,0.6748766556723227,0,0,0,0.5965676307678223,0.05719678848981857,False,flanker,evidence-origin,2
Older,older_80_89,43,15463,1,0,1,True,1.4475566090091339,0.79,0.6575566090091338,1,1,1,0.8865966796875,0.07466185092926025,True,target,correct,5
Older,older_80_89,44,13789,0,3,3,False,1.1310236793573374,0.1,1.0310236793573373,3,3,3,1.0694409608840942,0.061875954270362854,False,flanker,evidence-origin,4
Older,older_80_89,47,12470,1,2,1,True,0.6640379899113139,0.14,0.5240379899113139,2,2,2,0.634675145149231,0.0609055832028389,False,target,correct,1
Older,older_80_89,48,28153,3,0,0,False,0.9331345290313283,0.11,0.8231345290313283,0,0,0,1.2050694227218628,0.06500067561864853,False,flanker,evidence-origin,3
Older,older_80_89,50,763,0,3,0,True,1.5058818039940147,0.77,0.7358818039940147,0,0,0,1.129265308380127,0.02574501931667328,False,target,correct,5
Older,older_80_89,51,10604,1,0,1,True,1.5746466465803108,0.79,0.7846466465803108,1,1,1,0.8929194211959839,0.07277290523052216,True,target,correct,5
Older,older_80_89,52,22195,1,3,3,False,0.899081588604693,0.08,0.819081588604693,3,3,3,1.2536702156066895,0.05771683156490326,False,flanker,evidence-origin,2
Older,older_80_89,53,6643,2,0,0,False,0.7432521202907506,0.08,0.6632521202907506,0,0,0,1.345435380935669,0.05921652168035507,False,flanker,evidence-origin,1
Older,older_80_89,59,34062,1,2,1,True,1.124064549867172,0.11,1.0140645498671719,2,2,2,0.4908977150917053,0.045057184994220734,False,target,correct,4
Older,older_80_89,60,7245,2,0,0,False,0.4303497956383774,0.09,0.3403497956383774,0,0,0,1.2561941146850586,0.059001386165618896,False,flanker,evidence-origin,1
