trial_id,n_repeats,mean_rt,median_rt,std_rt,min_rt,max_rt,q05,q25,q75,q95,q95_minus_q50,skewness,error_probability_relative_to_target,matches_human_response_probability,choice_consistency,modal_predicted_choice,probability_of_target_choice,probability_of_flanker_choice,fast_error_rate,broad_narrow_classification,skew_classification,possible_multimodality_flag
test_000030,500,0.4254426191330942,0.40980738070112466,0.07614140295401249,0.2904041984852272,0.7320351218584715,0.3286356613101463,0.3695954521049348,0.4666390071746739,0.5718505662623342,0.16204318556120956,0.8944777694688623,0.76,0.24,0.336,L,0.24,0.24,0.2,broad,right-skewed,True
test_000042,500,0.433033307542621,0.42065773380229204,0.07547498540255676,0.27003181022345096,0.6856926412358983,0.33332309824265316,0.37713992338254015,0.4778228468477029,0.5764267062672436,0.15576897246495153,0.6151773595184205,0.664,0.2,0.336,D,0.336,0.336,0.18,broad,right-skewed,True
test_000151,500,0.4261248303227979,0.4164347779468382,0.07723188031840893,0.26588277152179596,0.7016841727606842,0.3205384029665271,0.3712929394563197,0.4700050032946326,0.573236688434861,0.15680191048802278,0.7517456737511831,0.718,0.282,0.282,L,0.282,0.258,0.176,broad,right-skewed,True
test_000498,500,0.427838572598266,0.41248503309669116,0.08528287604753937,0.27785378624157575,0.8209778539020399,0.3176511415951928,0.36755563461062185,0.4732361463138472,0.5806068033198204,0.16812177022312924,1.1986714803463985,0.682,0.202,0.318,D,0.318,0.202,0.17,broad,right-skewed,True
test_021835,500,0.42809339345595426,0.41751035950417303,0.0776726553726588,0.27781515037742566,0.7144887255307413,0.3218267233250525,0.3714929033501114,0.4716355647481409,0.5691958387916742,0.1516854792875012,0.723606209771463,0.712,0.288,0.288,L,0.288,0.244,0.182,broad,right-skewed,True
test_030475,500,0.4258850867215387,0.40930392058537357,0.07682008300653444,0.26734832234415074,0.8452958907954718,0.32519672422291307,0.3722818731914622,0.4696442501152135,0.5722932211234618,0.16298930053808824,0.9961772475599747,0.738,0.262,0.28,D,0.262,0.262,0.18,broad,right-skewed,True
test_009269,500,0.42687647010418606,0.41413756555281406,0.07841636328425651,0.27573514021409046,0.71064161799124,0.3170358097866692,0.37085606956295425,0.4732832479346067,0.5780647782834523,0.1639272127306382,0.8079904488712779,0.746,0.254,0.272,U,0.254,0.254,0.182,broad,right-skewed,True
test_016903,500,0.43218321472230825,0.4163688957230789,0.0870417409156629,0.2865389558275426,0.8532118537249997,0.31821926487296937,0.37396238211516125,0.4734445944954764,0.6001330874946519,0.183764191771573,1.3310858087520938,0.742,0.258,0.27,D,0.258,0.258,0.194,broad,right-skewed,True
test_000187,500,0.42983052168582614,0.41860507648544043,0.08156259337548294,0.2644737725610187,0.7918756602997103,0.3204448339413429,0.37051882468684233,0.4809237291009589,0.5828614587495549,0.16425638226411443,0.6878601258582621,0.772,0.24,0.302,U,0.228,0.228,0.184,broad,right-skewed,True
test_000337,500,0.42833948031521063,0.4216506272053193,0.07646514276017913,0.27962940076355486,0.676169440932246,0.32064767882843115,0.37083466854522146,0.4725738007656234,0.5689362773620822,0.14728565015676287,0.6065386523636539,0.71,0.29,0.29,L,0.29,0.25,0.17,broad,right-skewed,True
test_000351,500,0.42845235213634864,0.4167272082305242,0.07850677712293071,0.27373733328210037,0.6859350052632058,0.31799958846313686,0.3746968527496208,0.47302940829644435,0.5768800356819892,0.16015282745146497,0.7162883809976252,0.784,0.216,0.392,L,0.216,0.192,0.19,broad,right-skewed,True
test_000661,500,0.42866510649155065,0.4178412668636972,0.07817599688106215,0.28503128331120114,0.815627628320702,0.32685991729685965,0.37185118082718616,0.4783436669906439,0.5696384233196948,0.15179715645599762,0.954786763096598,0.764,0.236,0.278,R,0.236,0.242,0.19,broad,right-skewed,True
